region,maa,maa_status,country,reserve
Antique,Caluya,proposed,Philippines,Bacong Marine Fish Sanctuary
Antique,Caluya,proposed,Philippines,Bacong MS Buffer Zone
Antique,Libertad,established,Philippines,Barusbus Marine Sanctuary
Antique,Culasi,established,Philippines,Batbatan Island Marine Sanctuary
Antique,Culasi,established,Philippines,Batonan Sur Marine Sanctuary
Antique,Libertad,established,Philippines,Bulanao Marine Sanctuary
Antique,Caluya,proposed,Philippines,Dawis Fish Marine Sanctuary
Antique,Caluya,proposed,Philippines,Dawis MS Buffer Zone
Antique,Caluya,proposed,Philippines,Dionela Marine FIsh Sanctuary
Antique,Caluya,proposed,Philippines,Dionela MS Buffer Zone
Antique,Caluya,proposed,Philippines,Harigue Marine Fish Sanctuary
Antique,Caluya,proposed,Philippines,Harique MS Buffer Zone
Antique,Caluya,proposed,Philippines,Hininga-an Marine Fish Sanctuary
Antique,Caluya,proposed,Philippines,Hininga-an MS Buffer Zone
Antique,Pandan,proposed,Philippines,Idiacacan Marine Sanctuary
Antique,Sebaste,proposed,Philippines,Idio Marine Sanctuary
Antique,Culasi,established,Philippines,Lipata Marine Sanctuary
Antique,Pandan,proposed,Philippines,Mag-aba Marine Sanctuary
Antique,Culasi,established,Philippines,Malalison Marine Sanctuary
Antique,Caluya,proposed,Philippines,Masanag Marine Fish Sanctuary
Antique,Caluya,proposed,Philippines,Masanag MS Buffer Zone
Antique,Culasi,established,Philippines,Naba Marine Sanctuary
Antique,Libertad,established,Philippines,Pajo Marine Sanctuary
Antique,Pandan,proposed,Philippines,Patria Marine Sanctuary
Antique,Caluya,proposed,Philippines,Poblacion Marine Fish Sanctuary
Antique,Caluya,proposed,Philippines,Poblacion MS Buffer Zone
Antique,Libertad,established,Philippines,Pucio Marine Sanctuary
Antique,Caluya,proposed,Philippines,Sabang Fish Marine Sanctuary
Antique,Caluya,proposed,Philippines,Sabang MS Buffer Zone
Antique,Libertad,established,Philippines,San Roque Marine Sanctuary
Antique,Libertad,established,Philippines,Taboc Marine Sanctuary
Antique,Pandan,proposed,Philippines,Tingib Marine Sanctuary
Antique,Libertad,established,Philippines,Tinigbas Marine Sanctuary
Antique,Libertad,established,Philippines,Union Marine Sanctuary
Camarines Norte,Mercedes,established,Philippines,Apuao Marine Sanctuary
Camarines Norte,Mercedes,established,Philippines,Apuao MPA Buffer Zone
Camarines Norte,Mercedes,established,Philippines,Canimog Marine Sanctuary
Camarines Norte,Mercedes,established,Philippines,Canimog MPA Buffer Zone
Camarines Norte,Mercedes,established,Philippines,Caringo Marine Sanctuary
Camarines Norte,Mercedes,established,Philippines,Caringo MPA Buffer Zone
Camarines Norte,Mercedes,established,Philippines,Qunapagiuan Marine Sanctuary
Camarines Norte,Mercedes,established,Philippines,Qunapagiuan MPA Buffer Zone
Camarines Sur,Tinambac,established,Philippines,Agcawayan Marine Sanctuary
Camarines Sur,Tinambac,established,Philippines,Agcawayan MPA Buffer Zone
Camarines Sur,Tinambac,established,Philippines,Caloco Marine Sanctuary
Camarines Sur,Tinambac,established,Philippines,Caloco MPA Buffer Zone
Camarines Sur,Caramoan,established,Philippines,Colongcogon Marine Sanctuary
Camarines Sur,Caramoan,established,Philippines,Colongcogon MPA  Buffer Zone
Camarines Sur,Caramoan,established,Philippines,Daraga Marine Sanctuary
Camarines Sur,Caramoan,established,Philippines,Gata Marine Sanctuary
Camarines Sur,Caramoan,established,Philippines,Gata MPA Buffer Zone
Camarines Sur,Caramoan,established,Philippines,Gibgos Marine Sanctuary
Camarines Sur,Caramoan,established,Philippines,Gibgos MPA Buffer Zone
Camarines Sur,Caramoan,established,Philippines,Giuhoan Marine Sanctuary
Camarines Sur,Caramoan,established,Philippines,Guihoan Turtle Sanctuary
