"","ma_name","gov_law","gov_practice","country","x6_gender","x19_current_fish_catch","x49_enforcement_responsible","x54_food_availability","cluster_no"
"1","Socorro","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Ambivalent"
"2","RESEX São João da Ponta","More top-down","True co-management","BRA","F","Declined a lot","Fisheries Management Body","Good","Resistant"
"3","Trujillo","More top-down","More top-down","HND","F","Declined slightly","Subnational Government","OK","Resistant"
"4","Dapa","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","Rather bad","Supportive"
"5","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","M","Declined slightly","Fisheries Management Body","Rather bad","Committed"
"6","Burgos","True co-management","More top-down","PHL","F","Declined a lot","Subnational Government","Very good","Supportive"
"7","Pomene","True co-management","More bottom-up","MOZ","F","Improved slightly","Fisheries Management Body","Rather bad","Committed"
"8","Pomene","True co-management","More bottom-up","MOZ","M","Declined slightly","Fisheries Management Body","Rather bad","Committed"
"9","Zavora","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","OK","Committed"
"10","RESEX Soure","More top-down","True co-management","BRA","M","Stayed the same","National Government","OK","Ambivalent"
"11","Teluk Kolono","More top-down","More top-down","IDN","F","Improved slightly","Subnational Government","OK","Resistant"
"12","Burgos","True co-management","More top-down","PHL","F","Declined slightly","National Government","OK","Committed"
"13","Santa Fe","More top-down","More bottom-up","HND","M","Declined slightly","Subnational Government","OK","Resistant"
"14","RESEX Marinha Mocapajuba","More top-down","True co-management","BRA","F","Declined slightly","National Government","OK","Resistant"
"15","Sebaste","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Committed"
"16","Teluk Kolono","More top-down","More top-down","IDN","M","Declined slightly","Fisheries Management Body","Good","Committed"
"17","San Isidro","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Supportive"
"18","Santa Fe","More top-down","More bottom-up","HND","M","Declined slightly","Myself","Good","Supportive"
"19","San Benito","True co-management","More top-down","PHL","M","Declined a lot","Fisheries Management Body","OK","Resistant"
"20","San Isidro","True co-management","More top-down","PHL","M","Declined slightly","Subnational Government","OK","Ambivalent"
"21","Socorro","True co-management","More top-down","PHL","F","Declined slightly","Subnational Government","OK","Ambivalent"
"22","Culasi","True co-management","More top-down","PHL","M","Declined a lot","Fisheries Management Body","Good","Supportive"
"23","Libertad","True co-management","More top-down","PHL","M","Declined slightly","National Government","OK","Committed"
"24","Pilar","True co-management","More top-down","PHL","F","Improved slightly","Fisheries Management Body","Very bad","Ambivalent"
"25","Pilar","True co-management","More top-down","PHL","F","Improved slightly","Fisheries Management Body","Very bad","Ambivalent"
"26","Santa Fe","More top-down","More bottom-up","HND","M","Stayed the same","Subnational Government","Good","Supportive"
"27","Libertad","True co-management","More top-down","PHL","F","Declined slightly","Fisheries Management Body","OK","Supportive"
"28","Libertad","True co-management","More top-down","PHL","M","Declined a lot","National Government","OK","Ambivalent"
"29","General Luna","True co-management","More top-down","PHL","F","Stayed the same","Subnational Government","OK","Ambivalent"
"30","Zavora","True co-management","More bottom-up","MOZ","M","Improved slightly","Fisheries Management Body","Good","Committed"
"31","Del Carmen","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","Good","Committed"
"32","Santa Monica","True co-management","More top-down","PHL","M","Stayed the same","Fisheries Management Body","OK","Ambivalent"
"33","Fequete","True co-management","More bottom-up","MOZ","M","Stayed the same","Fisheries Management Body","Rather bad","Supportive"
"34","Wangi-Wangi Selatan","True co-management","True co-management","IDN","M","Improved slightly","National Government","OK","Resistant"
