submissionid,ma_id,45_leadership_position
086841f2-0c79-402f-9f18-9465aa762301,373,No
77d433af-528d-48fd-b104-64a9c5dec65f,373,Yes male
2e4a3fb0-fae9-4b41-a1db-b4313bb4b683,373,No
b1e6dbe2-505e-4b09-a27f-05b0586029b6,373,Yes male
08d74fb9-0c99-4ef2-bf5e-1bf28f3b4eb6,373,No
ce5a8578-5024-4175-9c5c-7ca72878b854,373,No
f560a3ea-96e3-4ddc-9e5f-4141bd8f654a,373,No
b24fafb6-452c-4cc1-aa28-7f2f084d2c18,373,No
df6d86c1-efc8-460a-8e4c-319a997c1f75,373,No
2ea1336e-ffab-4f3b-ab7f-01ba1b0889d6,373,No
b4bbcd47-680f-4449-9f47-3afad013eeca,373,No
37cad572-3f60-4802-875c-239909a6bab9,373,No
381a6ea5-d1a7-4875-899f-6569663809ba,373,No
8f7f2832-9e44-486d-a455-64b87a059737,373,No
afeaf56c-acd9-4917-907c-678ec27b0031,373,No
5ebff2e1-d147-47b5-a2e5-536662814371,373,No
1e2d2cef-a263-441c-b7cd-6526c2a82761,373,No
00fcc995-cd3e-4dcc-afce-78f66f388fe6,373,No
e7d4c2b4-4193-4709-bdb5-7a58bfd3f030,373,na
9ad0c60c-5e6b-4425-aacd-3503b10e3d94,373,No
44500c53-7549-4e0c-bdf3-fdeab91f1ffc,373,No
be1d4265-c4da-4c4c-b5d5-6f37f838cb2e,373,No
4cce4743-6691-47a0-98d5-c0929908d273,373,No
89f68e25-feda-44da-acd0-d709cb504eca,373,No
3353b934-a505-47b9-9bce-8339f10abf2e,373,No
5a4660da-ad74-4c7b-a920-b8e0d9e863c8,373,Yes male
55dc085b-c4f5-41a1-8385-256b40472594,373,No
2376a3cd-ea79-4c16-9bd0-e1534d288544,373,No
15a0523b-ba69-41a4-9b90-6c81e0eab311,373,No
ccf6da41-8e5e-4454-a34e-6be1a719a161,373,No
63214569-0021-4f95-a0f4-493ee640df3b,373,No
aab5a121-0340-4aef-afde-9a1cdfa9bc4f,373,No
fe291a96-f502-4908-8ca5-b30c587ea453,373,No
681d8ad6-1aeb-4561-bb96-a1b57a16f5e6,373,No
add37f0a-e091-48fe-ab93-c81251a1e6bb,373,Yes male
6ed62d6c-9a7e-4617-b9bd-aa53e4ef4f29,373,No
