submissionid,ma_id,48_enforcement_participation
68fff6a3-c755-441a-8288-36d016b60ccc,164,No
bca4b932-a294-4a04-a856-a8476769d461,164,No
9b7a7adc-49bc-4cb5-91fd-7cbf093c0e93,164,No
ef4974bc-5630-42c2-8da7-54dba256ebcc,164,No
48149029-6a9b-4959-afb8-5bf1e1e25636,164,No
a7fbbbbf-5220-4a03-b696-fffaf4e3554f,164,No
cb4cfdc0-aaff-46a7-a6ec-d3bb444cab55,164,No
adbcee84-706b-40f1-af5c-846382b5e3d1,164,No
f893b7dd-355c-4c58-994a-f069c7eb2df2,164,No
ecf33493-eec4-409d-82fc-296a40727367,164,No
626903fb-5520-4195-b420-93f7fdabd186,164,No
bdf9da02-185d-48f0-a430-f3bafe4da94c,173,No
b8cac438-a4c1-4e0a-b931-6164418e13a5,173,No
18d57b65-47d2-4cf8-b1e0-8032151fabcd,173,No
fe544cd5-86be-432d-bce3-198c7606d799,173,No
4b5d0a89-cb8d-4c4e-b5ab-1b671706bf0d,173,No
194b9a79-c078-4132-8260-6a981ed8bb38,173,No
da925f5a-b566-430c-a380-3bd77cc66ac3,173,No
50d5fe7e-caee-4995-8c93-e5d1880c9a2a,173,No
dfa4fc31-6493-439f-a0da-71a02ece6b6d,173,No
9777c76c-aaf1-4554-bbbd-ad3a7995d080,173,No
dd96b547-7671-4cdb-9efb-db3f291f0363,173,No
4fea91e5-290a-4aed-9e78-798640d8a1b4,173,No
bc842d3f-1a9b-4b34-96f7-f7026449739a,173,No
0eb5fcc2-1425-482b-b082-49621e0a0bb8,173,No
504acf1f-c8f5-47e3-a53b-6f6c4ae95388,173,No
a8ce8be7-a4d9-4e94-8366-ec1b0b64758d,173,No
f479fee8-d3cb-4d26-a44e-aab14f1130fb,173,No
af066c6d-1ad2-418b-b206-35266f1cbc7e,173,No
679476d1-2fa0-4928-af9a-985b44e05a17,173,No
20943013-3ce4-41fa-b199-8665444311b3,172,No
c8b233bc-059a-4846-bc5e-850fbf0d71cb,172,Yes male
0786615a-8b43-4b08-b1f9-aef3baa44bbe,172,No
43ea6036-f7c8-4c6a-be9a-ff438b16e447,172,No
3a7fa75a-2ca3-4448-9cd4-6fd034cfdde5,172,No
48594d98-6de0-4d46-bdba-ad1b278a5fa8,172,No
b37870b2-daa1-45ef-b073-9ca92f56b77d,172,No
002a1b19-828d-44c1-9edf-e005e1d81cd7,172,No
6e5dd3be-a8f8-4378-b358-afc9e502ee67,172,Yes female
b2098e14-a0a2-46e3-b17c-59d067acd595,165,No
4d9f35ce-2a9b-441d-b08f-f8f7f176840d,171,No
6f4f7442-0961-4b65-903d-f9a277466388,165,No
66eda6b9-8342-4987-9b8c-ce8506aa40bd,171,No
99f34e55-6ed2-42c8-b6ad-bbe97fea356e,171,No
c247936b-581d-4b80-9220-8f1807707016,171,No
67a2e982-274e-436c-9e7c-5def54b2dee2,171,No
c015a4da-1d7d-4f1e-b8e5-af1ad8e9f698,165,No
bc54b023-d169-4e5c-978e-74cebfff92ae,171,No
415eb472-2391-45ca-8eb0-7ce286feeb04,171,No
e837ebe5-bf90-4682-94c2-4670580bfec6,171,No
01faa081-ec3b-4471-b5d0-8781280cd1d1,171,No
71f3b265-3174-493a-83aa-fbc6e33b4b3f,171,No
cc6a0412-4718-4b32-8dc7-81c94481ba3c,171,No
7fed96df-a0a9-463c-8be2-26926910ac19,165,Yes female
