country,level1_name,level2_name,level3_name,level4_name,level4_id,lat,lon,ma_name,3_community,submissionid,45_leadership_position
MOZ,Inhambane,Inharrime,,Zavora,235,-24.519639,35.194556,Zavora,Zavora,11e5518a-e43c-4058-952f-4e944d891158,Yes male
MOZ,Inhambane,Inharrime,,Zavora,235,-24.519639,35.194556,Zavora,Zavora,6c67d2b7-5e59-49bd-b252-89ffa9b2a46c,Yes male
MOZ,Inhambane,Massinga,,Pomene,236,-22.906747,35.556889,Pomene,Pomene,18e20374-e728-4f9f-8d72-8305681e07ad,Yes male
MOZ,Inhambane,Inharrime,,Zavora,235,-24.519639,35.194556,Zavora,Zavora,57a8c568-007d-46c5-8e55-658eb53edeb9,Yes male
MOZ,Inhambane,Inharrime,,Zavora,235,-24.519639,35.194556,Zavora,Zavora,bb33d0be-a749-44f0-8962-f7aacaf08558,Yes male
MOZ,Inhambane,Inharrime,,Zavora,235,-24.519639,35.194556,Zavora,Zavora,c7eb2f8e-f0ed-4f80-a4f6-11dff29fafa6,Yes male
MOZ,Inhambane,Inharrime,,Zavora,235,-24.519639,35.194556,Zavora,Zavora,50eba092-eb79-4d05-a3de-11f7f14f3a51,Yes male
MOZ,Inhambane,Inharrime,,Zavora,235,-24.519639,35.194556,Zavora,Zavora,2b0ef625-e08f-4aae-a3ca-1ab655dbcf86,Yes male
MOZ,Inhambane,Inharrime,,Zavora,235,-24.519639,35.194556,Zavora,Zavora,6919accb-e915-4a2e-aed8-c5e4e31e8580,Yes male
MOZ,Inhambane,Inharrime,,Zavora,235,-24.519639,35.194556,Zavora,Zavora,8168783f-12d4-4e03-bb78-ecb8f1364cd3,Yes male
MOZ,Inhambane,Inharrime,,Zavora,235,-24.519639,35.194556,Zavora,Zavora,56ab7062-18f3-4fc4-b4be-7a127e3d38d0,Yes male
MOZ,Inhambane,Inharrime,,Zavora,235,-24.519639,35.194556,Zavora,Zavora,4b7d0f94-dd54-4b51-b535-cc5abc400d5b,Yes male
MOZ,Inhambane,Inharrime,,Zavora,235,-24.519639,35.194556,Zavora,Zavora,91736b0f-152b-4df6-bb7c-acc3057c4549,Yes male
