submissionid,ma_id,14_responsibility
55777015-88a3-4270-91f8-2c4d7bd35fed,164,caring for house
55777015-88a3-4270-91f8-2c4d7bd35fed,164,Caring for children
387cb1b8-5ad1-40cf-8e94-652d6b5ca9cc,164,Caring for children
192c4963-ca02-4eaa-8ca5-a3654eed7bc8,164,Cleaning fish
6fa53c66-c5e1-44e1-8cf5-84a03ff934dd,164,caring for house
b99c2700-17d9-45f9-a512-be4c11e01d82,164,Caring for children
f5033f3f-46eb-490a-99af-c6741006de53,164,caring for house
07e33306-6f4f-4d74-b2f5-81f0dc6f6c71,164,Caring for children
ee643a4b-395c-451c-aa23-6e9690b7099c,164,caring for house
ecf33493-eec4-409d-82fc-296a40727367,164,caring for house
ecf33493-eec4-409d-82fc-296a40727367,164,Caring for children
3047d25a-00c7-4d79-8d18-315e33bef83a,164,Caring for children
cf299c98-1273-4cfd-8750-158566cc2e3e,164,caring for house
99784f7a-6f20-4433-9df0-24287acd0329,164,Preparing gear for fishing
ba8f6612-fc8a-44a6-acc1-94dcda3baecb,164,caring for house
fdb01694-f613-4a82-b9b5-3a54ac36e227,164,Preparing gear for fishing
fdb01694-f613-4a82-b9b5-3a54ac36e227,164,caring for house
9efabc1b-df11-418b-8e75-e1f221733a6f,164,Other
668384fe-7403-4651-8a1b-18215cb9466c,164,Caring for children
3697db49-6004-47ad-b6aa-4ea15ee6b9b5,164,Caring for children
0a57325e-4771-462f-ad79-b13f893620f8,164,caring for house
353ac34d-b087-42fa-b548-3adc6e509428,173,Other
17436f17-40ef-4129-8537-302e8f3d699e,173,Cleaning fish
c8016596-92fe-4b5e-94f2-cf4ad50d48bc,173,Caring for children
d2672cc5-8c01-4768-8e08-4292bfd53be6,173,Preparing gear for fishing
388f410f-6fb8-401e-bdaf-41cc2fedde02,173,caring for house
6e1c2acc-e5ca-4fd1-b550-c5e28e1d4e91,173,Cleaning fish
dc757920-7372-4650-a43e-67394c3cd335,173,Cleaning fish
77d9e2c5-d733-452c-823d-3f17334b464a,173,caring for house
50d5fe7e-caee-4995-8c93-e5d1880c9a2a,173,Preparing gear for fishing
50d5fe7e-caee-4995-8c93-e5d1880c9a2a,173,caring for house
f52ced72-a044-4919-b464-cff2095bcd9e,173,Preparing gear for fishing
0981048b-023a-4a89-bb82-e1bd3b7b8c94,173,Caring for children
d3588343-79ed-45b8-826e-0af9a3742a1b,173,Caring for children
dfa4fc31-6493-439f-a0da-71a02ece6b6d,173,Selling fish
4c256b91-cae7-431f-ab5e-77612e7c168c,173,Caring for children
b67ce536-4503-4091-bd05-f7fe3df608ab,173,Caring for children
32381817-f1ab-4c52-9c43-69fbbd5cca7f,173,Cleaning fish
08669f43-03cf-4abf-995a-a501a336dfb9,173,caring for house
6923773e-c6bf-4d20-a0df-623a4d8aaa2e,173,caring for house
9d4eed4b-ad14-4f32-8a5f-f107b3619ecb,173,Cleaning fish
52815b15-f04e-4bf1-ba54-d2d12583e152,173,Selling fish
a9ca428c-cfc6-4897-b560-3afe1a937440,173,Caring for children
66167cc4-21ed-410d-82ad-c81a149970c1,173,Other
464a27ae-1145-4d84-805c-48c9a468563f,173,Preparing gear for fishing
1a411d6b-a52b-448c-b90e-531fd89bb75f,173,Caring for children
8e790e0e-0d2a-443c-8ba9-1019ce9b052b,173,Preparing gear for fishing
8e790e0e-0d2a-443c-8ba9-1019ce9b052b,173,Cleaning fish
3a5e81d0-44c2-45b6-997d-63f54cd15e2b,173,Caring for children
f479fee8-d3cb-4d26-a44e-aab14f1130fb,173,Preparing gear for fishing
3f2db297-dc5a-4a9c-8750-ed3ae813956f,173,Preparing gear for fishing
994f92ba-fe20-42c1-a239-134918fd3cd1,173,Preparing gear for fishing
9e00e185-dff4-4834-b8e3-05401eda7597,173,Caring for children
427b3563-c7db-4bc5-b9b8-148914e2b2a0,173,Caring for children
87f7f07b-61a8-407c-a435-d9070b6ca970,173,Cleaning fish
ebad920c-5c19-4c89-8da6-6a38613c8384,173,Cleaning fish
2166f289-d782-4c4a-8c65-67d832811e07,173,Caring for children
679476d1-2fa0-4928-af9a-985b44e05a17,173,caring for house
f992d028-a103-4794-95cb-c072918d92d7,173,Cleaning fish
c6bfd866-7591-4fc2-aaf5-068c7b712311,173,Caring for children
0f32b086-b1ed-4b3e-b152-114901cb1402,173,Cleaning fish
bcfe2eb1-654e-4fd1-a295-db8e683819a8,173,Caring for children
d5799f08-145f-478d-a9c7-dadf46b66cc1,172,Caring for children
2afa5ca9-c86e-4c44-b25c-00893d43e178,172,Caring for children
bcd163fc-a37e-47bc-b1cf-addc4ef90c80,172,caring for house
45007b46-cef1-4ee7-b4c6-47bc8be6c8c1,172,caring for house
b681c781-14d5-4fd4-9cd6-98865caa664b,172,Caring for children
89f534eb-4a0c-41ad-a71c-6147d0bb87ee,172,caring for house
43ea6036-f7c8-4c6a-be9a-ff438b16e447,172,Cleaning fish
22d980d6-7550-4dca-87cb-d15d2793ba32,172,caring for house
0b823b1f-d511-4a01-8b47-0cdf88dbcbb3,172,caring for house
48594d98-6de0-4d46-bdba-ad1b278a5fa8,172,caring for house
dafce268-f6ee-4aa5-ac85-6de64f022b30,172,Other
0f1542c6-2d86-4ce6-88bf-9ed62ffdac22,172,Preparing gear for fishing
44849637-49a6-47c0-b534-c2cfe4e42606,172,caring for house
7adcd730-696c-439e-b6ae-6b85648fd507,172,Caring for children
ebe5eef1-33fa-4b12-ae61-273a9071631e,172,caring for house
6e5dd3be-a8f8-4378-b358-afc9e502ee67,172,Caring for children
4392b5ed-13ef-429b-9261-6008af24083d,165,caring for house
78ed44bd-52ce-4fda-84ef-31bea55d152d,171,caring for house
6a587ebe-16fe-4665-a1d3-68d2548a74a5,171,caring for house
bfa2dae9-6875-49df-9621-030eb9398311,171,caring for house
03753d60-71b6-43a9-a33e-56d185e40d57,171,Caring for children
34fcc522-909a-476b-8cc3-23f469b3e26b,171,caring for house
3439ae8b-7672-4cd9-bab4-8974199f5ff8,171,Caring for children
27608da8-b598-46a0-8674-4d0158d861ba,171,Caring for children
ec2f91ce-2bf8-4416-9b00-741522a846d5,171,caring for house
9441b1aa-2d98-4bcf-be8b-54095b2f30b2,171,Other
b911a851-f041-480f-bfb4-102aa4892d55,165,Caring for children
ad32798c-4ab3-4532-9461-3614715967a3,171,Caring for children
c247936b-581d-4b80-9220-8f1807707016,171,caring for house
44aa5c47-49c7-4171-bc6d-f4ca4ebac033,165,Preparing gear for fishing
dafd6af7-4cd2-4e11-857e-c3a78ab3d86b,171,Preparing gear for fishing
ef46f628-0360-4926-b6f3-a28eb3307f5c,171,Preparing gear for fishing
6c9a7894-49d5-4885-a77a-615489de1d9e,171,Other
5afc4ee2-766f-48ce-a87c-507cda1a9280,171,caring for house
a982b72e-a9d4-40c5-bb54-67b32f9e4896,171,Preparing gear for fishing
b22141ed-32f6-4464-a4f5-88d117870af8,165,caring for house
d277caa7-c2ac-4d77-bc1d-82775303da8f,171,Caring for children
e96136db-35d2-4d02-b094-2b354d884a58,171,Caring for children
9eb6220b-d06e-411b-9344-ad07379f4f69,171,Cleaning fish
9bd52025-081d-4ba8-b282-114d54e4607c,171,Cleaning fish
26b460e5-dfaa-489c-ac1b-73f67def5205,171,Caring for children
26b460e5-dfaa-489c-ac1b-73f67def5205,171,Cleaning fish
4ce79ee0-d0f1-4571-8288-22222f937413,171,Caring for children
27e3071e-4de8-4d29-8437-01b2278594f9,165,Caring for children
5d9e9e48-531b-4d9e-8b63-9561ed650862,165,caring for house
067ac2ad-6938-4a80-9d9d-ea38ba86f50e,171,Preparing gear for fishing
ee26e73b-a92a-42c4-92da-99bb5161e0f7,171,caring for house
fa338450-be45-4aa6-bd1d-16ccc4230e69,171,Preparing gear for fishing
31ebd157-4420-4063-8cfe-a4fae1171481,165,caring for house
aeb73f65-2d87-4eb1-bcd8-53374f5766c9,165,Caring for children
999fa2e7-cee8-4332-9099-8d2f43a5f54c,165,Caring for children
ca49a8e4-bec5-45d1-8cd3-f4a2622276af,165,Other
ccdb3feb-6b6f-4d1e-afa2-304de6f0ed08,165,Other
45688143-34e5-4831-8ace-4862d93e7fbb,165,Other
4d55b9bc-4591-4d63-a559-6d640bab4ed0,165,caring for house
a2433da6-7346-4db2-b16a-579322af342b,165,Caring for children
de742ae7-0752-4797-bbb8-f70b2ac4d7f5,165,caring for house
6e119443-6bdc-4b9c-bba4-a8962c1361b5,165,Caring for children
6e119443-6bdc-4b9c-bba4-a8962c1361b5,165,Cleaning fish
da565c59-d2ec-4596-83f1-4576e7604e50,165,caring for house
b4ac8ac2-f257-492f-9d33-95f1c6766aa2,165,Preparing gear for fishing
80b6cacd-a4ae-491e-8cda-abafaba84d56,165,caring for house
aacdad73-76b1-47e1-aff8-91c87a3b0258,165,caring for house
418dfbb5-d5c5-4240-9389-fde5a05573ba,165,caring for house
