submissionid,ma_id,15_activity,15_hours
95cf04c2-f6a2-49be-aa73-e1386c9980c0,373,kamwakel,8
75d5fe2e-d93d-41fc-b58a-fd75a903e777,373,kamwenge pwihk,1
f7955a70-de85-40ab-adcc-21a4b81f838b,373,mwoat,1
b1cdf142-0d1b-4e7b-9ea4-5c584af8b43f,373,cook,1
eb163d0a-182c-4b95-a57c-585fc055ed7a,373,laid,8
ca9f6535-82ec-4849-91f8-7b35ad02d18e,373,pil deidei,8
6987726a-197f-4be0-ab69-a00a6f8016a8,373,mwoatiwoal,3
0d8ef4f8-f8b0-4714-9b2d-e72a30c61128,373,nanwoal,5
ecb6073c-7fcf-4c68-8861-5e787ced6954,373,nanwoal,8
681d8ad6-1aeb-4561-bb96-a1b57a16f5e6,373,dehkada urohs,6
681d8ad6-1aeb-4561-bb96-a1b57a16f5e6,373,kamwenge pwihk,1
f8700123-25a3-4ccd-a327-2596d0de07cf,373,wie ihmw,8
e68781e2-ee5e-41fa-87bf-04de6a1d22d9,373,kamwoangoa pwihk,2
4471103b-d9bb-492d-acdf-87d975a64b06,373,deidei,4
4c14b4b2-3956-4a3f-b050-c806781282e2,373,deidei,3
3c8fb82e-172b-467e-9660-1aed8c99204a,373,mwoajuwoal,6
87389c75-da52-49af-bd42-eaeddb658cdc,373,koamwong pwihk,1
63214569-0021-4f95-a0f4-493ee640df3b,373,mwoaj,5
6e302754-66fd-4b06-977a-fc3e3a4620b6,373,nanwoal,4
fab048a3-bcc4-405f-9e6d-51c3382e4243,373,doahkin wai,8
086841f2-0c79-402f-9f18-9465aa762301,373,kisin doahk en ihmw teikan,2
42dadb00-2b1f-4092-bda6-a2874cfe3d26,373,netikihla  urohs,5
a9979e3c-17e9-4089-98fa-1ff7489ba975,373,poad wahntuke,8
20a3b908-a5b5-481a-afbc-68d0728f7432,373,mwetmwetseli,1
ced2e1a8-b8f6-4a50-81af-1c724d871839,373,mwoat,1
1797a241-2167-4e90-9944-68cd4dba891e,373,kamwoangoa pwihk,2
239c1414-26e9-4cf5-8d1d-b00e8fbb043a,373,mwoaj,5
1840a331-805f-4393-9b0b-4e9d712cbd96,373,kamwenge mahn,2
2e4a3fb0-fae9-4b41-a1db-b4313bb4b683,373,siloapoan  ihmw,4
1e50879b-b90b-4b3f-828e-3bcedd08f54e,373,deidei,3
b0452914-9b90-4d61-9a85-8e2ce87e6998,373,store keeper,12
3922c6bf-9ad9-446b-bfd5-c5688b0ca879,373,widesakau,4
db2d9b3a-286b-4860-925c-26f84113a174,373,epwel seri,5
b52d50c0-c969-4dbb-856f-134b51c5f0d7,373,deidei,3
5ebff2e1-d147-47b5-a2e5-536662814371,373,kamwoangoa mahn,2
92415ca1-f1f9-4ae8-8563-36bc778e3028,373,deidei,6
3493c1f1-b76c-4dae-8339-6e9ab8dae766,373,deidei,8
3805bc7e-39be-40ae-89ea-cc3fefca2a34,373,lopwolopw  kukuda mwoangoa,2
fe1d7dc9-4ace-4f71-ad54-afa59d611f14,373,kamwenge pwihk,1
40be1fe0-1507-4561-b8f1-96b1bce2f3a5,373,deidei,5
b43f5736-c149-489a-a59f-184f9916d8da,373,wie lehn pohnpei,2
1840a331-805f-4393-9b0b-4e9d712cbd96,373,dehkada urohs,6
6e206804-4690-4b53-99ce-b7befe8e4afc,373,kamwenge pwihk,1
9adc2978-43f8-420c-a41f-59a09923bc33,373,doadoahk en nan sapw,3
76a8f4e1-77a7-43fe-8d24-c5cfa312132f,373,mwoat,6
dfd60b99-5fe8-43af-8210-8e248d54588d,373,deidei,8
1797a241-2167-4e90-9944-68cd4dba891e,373,market,5
e68781e2-ee5e-41fa-87bf-04de6a1d22d9,373,nan woal,7
f37b1add-becb-421e-9370-fc447c942857,373,deidei,3
3a615f49-78ae-45b2-8231-94098adc0fd2,373,mwoajouwal,8
7e1fdd56-2165-4df3-b291-437762b56555,373,dekada urohs,8
14aa6c16-4974-4b73-bc1e-c7fa5c9d77f1,373,kamwenge pwihk,1
eca2626f-6304-4e58-8498-9bc817de0e58,373,deidei,8
e9133322-c975-43a9-8dde-1e894942535e,373,mwoatlikin ihmw,1
0de862e0-9541-4784-b5a0-f617ff52f69f,373,mwet,1
29f20a22-d6a6-43a2-aca9-c00fa9e3d545,373,mwoaj,5
db2d9b3a-286b-4860-925c-26f84113a174,373,mct,8
23d60f48-8059-4983-87cf-a2c0e81ba231,373,mwoatiwal,2
33dc8732-ce72-4d6c-b53a-d68ddc668bbf,373,doakenwai,8
3f57c7e8-46f0-4e21-b457-fa8778bc8098,373,widesakau,3
743b764d-6192-4f2b-934a-5fe42b171f45,373,selling food,5
d83c5ffe-0055-4bde-b645-8bbfbe777204,373,kamwenge pwihk,1
b1cdf142-0d1b-4e7b-9ea4-5c584af8b43f,373,kaunopada dipwsoaun laid,1
a4324c8d-509a-47d9-a28c-96a565932e2c,373,deidei,6
ae10d5f8-9928-429b-8dbc-2ac514095b81,373,storekeeper,24
41647735-a4d1-4b8b-bfc2-75b3412af3b0,373,deidei,2
df2f6eec-0708-4379-ac39-36d715d5fbd3,373,mwoat likin ihmw.,1
ae31876b-a728-46e3-a12f-eed000f533a4,373,taxi,9
81e194e6-f879-4835-97dd-99dc5ffe7f5a,373,mih man sdohwa,12
21bdf752-9633-4b9f-b9ce-de9cb54137c6,373,deidei,4
0eaa6483-10fa-4b08-aac7-272b5b13fcb4,373,doahken wai,8
1e2d2cef-a263-441c-b7cd-6526c2a82761,373,dekada urohs,5
984f51ce-eb4b-4cf7-8160-ce45827eb0a1,373,dekada urohs,6
0bb86a38-ada7-42c4-8206-ae27cf40fe04,373,mwetiwel,1
56d984ec-b7af-48c3-b232-8a7e78cdf86c,373,kamwenge pwihk,1
cc2b5685-d634-4a43-94dc-a8d0a6576d20,373,doahkenwai,8
ac14ef92-8b0f-4a5d-8bbd-608ae1df20fc,373,kamwenge mahn,2
42fa4195-e6bd-4b3e-9cd2-173cb5a307d4,373,kamwengpwihk,1
e66e6798-a205-4388-99d6-ba30bac7e445,373,mwoat,2
e8d4ad40-9d79-48af-af35-6af54bec4b22,373,losing mwoat seli,3
093a348e-218b-487a-a10d-59358e627aa5,373,mwoaj ,5
885bc895-40c4-4d66-b7ef-c230219baec0,373,poadoakoahd,2
ac14ef92-8b0f-4a5d-8bbd-608ae1df20fc,373,wiahda market,4
655e1ca4-3996-43c0-81ce-4c8b5d5e6fdf,373,mwoatiwoal,1
a7ea9558-1548-446f-9625-bc67a2222e8f,373,mwoaj,4
4d45b1fa-f40b-41bf-822e-279c544e52a1,373,mwoatiwoal,9
ad68b4fb-79ec-428b-97aa-a095a8693e7b,373,deidei,5
69a079ca-2c31-4ac7-889d-0847d9184df7,373,dehkada urohs,5
2ea1336e-ffab-4f3b-ab7f-01ba1b0889d6,373,nan sapw,5
b1cdf142-0d1b-4e7b-9ea4-5c584af8b43f,373,lopwolopw,5
b51bb36e-07fa-47b4-8a87-945a9fbc36ac,373,pwukoahn mercedes,4
96abb794-9acd-4b73-bf87-f18c9cabfaf2,373,nanwoal,8
5ebff2e1-d147-47b5-a2e5-536662814371,373,netki market,5
d83c5ffe-0055-4bde-b645-8bbfbe777204,373,kamwakel,2
e66e6798-a205-4388-99d6-ba30bac7e445,373,netki wahn sahpw,3
463acbbb-50f4-4683-99d0-1ec31b364a57,373,mwoat,5
a7ef2a30-befa-4ffb-ba47-d58c347433da,373,kohla nan,4
fed00e67-4cc3-4266-b910-bb4613f49d6f,373,wiesdohsa,4
621ff17b-0c61-4ae3-bbdb-5df21c762379,373,deidei,8
9e8c5c0c-1b4c-4169-8fd1-797f517271bb,373,deidei,4
15a0523b-ba69-41a4-9b90-6c81e0eab311,373,kamwakel,4
3288c1cd-547b-4e36-9896-9d1122a8a772,373,pil deidei,5
4bf79fb2-6258-48ee-9b70-08b4444748fa,373,dekada  urohs,8
b3507028-648e-4803-99e4-62e8d4bc403a,161,cuidar da casa,5
b3507028-648e-4803-99e4-62e8d4bc403a,161,agricultura ,1
02294751-6876-4c96-a07d-945ae85f4150,164,beneficia o caranguejo,6
07e33306-6f4f-4d74-b2f5-81f0dc6f6c71,164,cuidar da casa e das crianças ,14
bfd9f6fb-b386-40e0-b96c-5e4afdc7865c,164,cuida da casa,5
ed3ada9c-0019-4944-836b-a822c4a759c2,164,cuidar da casa,16
50c6ea7d-3a85-489e-8821-67ffabc80edc,173,cuidado da casa,6
ad332c82-7f3c-4f70-9d26-a97eed3d86fe,173,cuidar da casa,48
83253818-e11a-4287-9cae-22cb86426aa9,173,cuidando da casa,21
29f59fd6-9bfe-4e44-ac58-cab328a0e6c7,173,cuida da casa,6
a8037b09-9814-4a2f-a517-415ef27a90e9,173,cuida da casa,6
e8ed9eaa-d8d6-4ca7-ab4f-2069d20b18de,173,conserto de rede,4
79a5cbc5-1c6c-4c3d-9366-931422162e88,172,atividades da casa,12
89f534eb-4a0c-41ad-a71c-6147d0bb87ee,172,carangueijo,9
a386ee80-a82b-431c-8557-d499e214cb20,172,preparando equipamentos de pesca,8
239fa6ff-dede-407b-b5e6-a5224849dc97,172,cuidando da casa ,12
b37870b2-daa1-45ef-b073-9ca92f56b77d,172,crochê,2
6ee89fa4-68ad-4ddf-8998-b03cabba619f,171,Artesanato,5
6ac7e4fe-9f30-4284-90f7-1dea88b324ff,171,costura ,4
6ac7e4fe-9f30-4284-90f7-1dea88b324ff,171,cuidando da casa,16
4a617a41-3590-456e-9855-bb79d66f6e3f,165,roça,8
ded1d624-4455-4ea6-8ec5-ff28a6bd56d0,171,cuida  da casa,4
c43b01ec-7906-4b93-95d6-8de2fc627f3d,171,crochê,4
0c56bb5c-43f8-4cdb-9b03-cdbe15704c76,165,Agricultura,4
3b821962-076c-4d99-a4ae-b223cdbeeb8f,171,cuida casa,24
c425c254-b77b-4661-a9e4-ff7d4ff869b6,165,marisqueira,4
0e6d0fa4-d3c6-4788-96de-03fcb030b63a,165,roça ,20
45eb5bf3-dd63-44b8-9c54-6fd078f90e32,161,vender produtos ,3
0716972f-6155-44d4-8e3f-76087bf94dbe,161,marisco,6
004e79a5-34ac-416c-892a-71c4c5c5d528,161,cuidado da casa,8
da4151a7-a73d-4034-b220-8b7cc7e509cb,161,beneficiamento do caranguejo,6
0d26464a-b440-427d-a8c0-51279d2672f5,161,cuidar da casa,18
fcc3dbaa-c315-4575-855f-2bb91694bdfb,161,cuidar da casa ,8
657403e7-8f0e-4d75-879b-04f9890b248b,164,beneficiamento ,42
41a81ceb-0a1d-4540-9201-18e400dcd628,164,cuidar de crianças ,14
c9c56600-4146-4dec-8837-61a5a5ae8ee1,164,cuidado da casa ,6
3697db49-6004-47ad-b6aa-4ea15ee6b9b5,164,cuidar da casa e das crianças,16
53dbc7a2-3686-4f8e-820a-10a6cf82f652,173,cuidar dos Netos,40
e6a728cd-dc5f-44df-bdf3-c9d532bf4101,173,cuidar das criancas,5
26a68be9-9709-4fad-954b-a20465f48448,173,cozinhar o camarao,5
