submissionid,ma_id,69_fish_type,69_street,69_customer_home,69_market,69_shop,69_fishing_company,69_restaurant,69_own_home,69_other
5d2705a8-15f7-4bb2-8d0c-079b222eb071,161,tainha,,,,,,,,
295c9a01-4a44-4814-8e44-5e41484b5ff4,161,uriçica,,,,,,,,
295c9a01-4a44-4814-8e44-5e41484b5ff4,161,tainha ,,,,,,,,
72c1f239-4931-4343-8ef7-97ac015da2e8,161,bandeirado,,,,,,,,
2dfbd05c-c873-418d-a867-d26e35b5e14d,161,pargo,,,,,,,,
63defaab-c4f5-4495-ad24-56cd412db1ff,161,pescada,,,,,,,,
c380a031-66f8-4744-be49-68c13cabdf21,161,pescada amarela,,,,,,,,
15163bbd-db7e-4c6c-be92-1a033e521ce0,161,caranguejo,,,,,,,,
6b05acba-4d61-4bf2-9734-7c5479e39471,161,caranguejo ,,,,,,,,
49df4bd5-63b3-4b0d-a5fc-637bf752694b,161,,,,,,,,,
49293c91-4c62-442f-8ef8-c83b0ceaf753,161,,,,,,,,,
40cd95da-87ae-4284-9f4f-7110740e3cd2,161,caranguejo,,,,,,,,
7edf6ca9-17cf-47d2-8147-9a9b0e74946a,161,"peixe, marreteiro",,,,,,,,6
9734b869-d7cd-486a-a564-85e113b79a61,161,pratiqueira,0,4,4,0,0,0,0,0
88472cb1-97ba-4d67-991e-dc15eb64251b,161,Corvina,,,,,,,,
6ec0429c-4436-4f50-a1cd-b2f67963e09f,161,caranguejo,,,,,,,,20
af0d19b4-d633-4eec-941d-71836a9613ef,161,caranguejo ,,,,,17,,,
97618701-ca1c-41af-8729-b721589eb15e,161,,,,,,,,,
c35c91ff-96b3-4e25-869d-d0eb71b57db3,161,,,,,,,,,
bef7f656-37de-457a-b3b4-9a54d87fbd6d,161,caranguejo,,15,,,,,,
a505504b-ac2a-424a-9b44-244e348f7b43,161,caica,7,,,,,,,
e2e7aee4-d18f-4218-a306-bb7f7550f6bf,161,Serra ,,,,,,,,3
3c85586c-62d0-4558-bfd9-24ad338029f3,161,Gó,,,,,,,,1
a38178b2-210d-4054-8c8f-caed78f8b178,161,caranguejo,,,15,,,,,
a6ae2f04-5884-4d1c-a8ec-6a1c22e7d6bb,161,,,,,,,,,
c4e616f1-597f-4f05-abb9-1b26fe8233ec,164,peixe caíca,,,,,,,,5
55777015-88a3-4270-91f8-2c4d7bd35fed,164,peixe tainha,,,,,,,,
68fff6a3-c755-441a-8288-36d016b60ccc,164,camarão,,,,,16,,,
b505d627-3fe0-4bb8-a1ed-8fb7fa0822de,164,caranguejo (massa),,,,,,,5,
