"Form Number","Numero de formulario","Nome do entrevistador","Periodo da Pesquisa","Sexo","Copy of Quantos anos tem","Estado Civil","Numero de A. Familiar","Quantas de sexo feminino","Quantas pessoas menor de 18 anos","Quantas criancas estudam","Nasceu neste povoado","Se nao, ha quantos anos vive neste povoado","Situacao escolar","Situacao Religiosa","OBC que faz parte","Ocupacao Principal","Se realiza actividade de Pesca A quantos anos","Quem ensiou a pescar","Tem embarcacao de pesca","Que tipo de arte utiliza","Quantas artes de linha de mao tem","Quantos Arpao tem","Quantas artes de emalhar tem","Quantos marinheiros tem na embarcacao que pesca","Quantas vezes vai pesca por dia","Quantas horas fica na faina","Em que local pesca","Tem mudado a zona de pesca","Que tipo de embarcacao utiliza","Quantas embarcacoes de fibra tem","Quantas embarcacoes de Madeira/contraplacado tem","Onde adquiriu a embarcacao","Qual a especie mais capturada","Mes de maior rendimento","Mes de rendimento medio","Mes de rendimento baixo","Quais sao as capturas Maxima e Minima por faina Maxima","Minima","Qual é o mercado","Qual é o preco local por especie Garoupa","Vermalhao","Atum","Serra","Lagostas","Quem sao compradores de pescado","voce ja se benificou-se de algum credito","Se sim, de que Instituicao","Sempre pescou da mesmo maneira","Qual é o nível de captura a 5 anos comparando com hoje","Se estiver a diminuir, quais sao as causas","Se as capturas estiver a diminuir, qual é o impacto na familia","No passado qual era a arte mais utilizada","Quel era a captura por faina","Como era a forma que pescava no passado comparando com hoje","Tem conhecimento de algum problemas relacionados com a pesca de arpao","Ja pensou em mudar de pescar com arte de Arpao","Se sim, para que arte pensa em mudar","Existe alguma dificuldade em mudar de arte","Copy of Se existir as dificuldades Quias sao","Qual a especie pretende capturar com a nova arte","Quais sao as especies mais capturada","Quais sao os influenciadores sobre o publico-alvo","Qual é OBC que tem maior influencia sobre o publico alvo","Em que incide a influencia","Voce aceitaria de deixar de pescar com arpao?","Se existir, quais sao as causas da resistencia","Acha que seria facil ou dificil em convece-lo para novo comportamento da pesca de garoupa de Mancha castanha","Copy of Se for facil Porque","Se for deficil Porque","Voce aceitaria a mudar de comportamento para adptar nova regra de pesca","Aceitaria porque","Copy of Nao aceitaria porque","Acha que teria alguma resistência em abandonar a pesca com Arpao","Se for sim","Se for nao","A comunidade tem enfrentado alguma dificuldade","Falta de agua","Energia RN","Insumo de pesca","Bomba de combustivel","Sistema de congelamento","Vias de acesso","Tem informação ou conhecimento sobre a conservacao da garoupa de mancha castanha","Ha captura das espécies em conservacao ou protegidas","Qual das especies é a mais capturada","Quais sao os problemas da zona costeira","A forma que voce pesca hoje acha que é melhor que antes","Se nao, porque","Voce acha que a quantidade da garoupa de mancha castanha esta a dimunuir com o passar do tempo","Copy of Se for sim,","voce ja falou com outros pescadores sobre a pesca com Arpao","Se sim. porque","Copy of Se for nao, porque","A mudança proposta pelo projecto pode trazer benefícios aos pescadores e à comunidade","Copy of Copy of Se for sim Porque","Copy of Se for nao Porque","Qual é a fonte de informacao na comunidade","Qual é ONG com maior ligacao com a comunidade","Qual a instituicao que tem maior ligacao com pescadores e a comunidade","Qual é a OBC com maior ligacao com a pesca","Quas sao os aspectos culturais ligado a pesca","Form's Doc","Form Source","Form Created","Form's ID", 
1,1,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Un. Marital","3 Pessoas","1 Pessoa","1 Pessoa","1 crianca","Sim"," ","Nivel Primario","Zione","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Amigo","Sim","Linha","3 Artes","Nenhum","Nenhum","3 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao"," ","Local","Vermelhao","J","S","O","40 a 60 Kg","11 a 15Kg","Local"," ","200Mt/kg","200Mt/Kg","230Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg","Positivo","Insumo de pesca","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Nao sabe","Dificil","Nenhum","Nao tem comentario","Sim","Vai aumentar a producao","Nenhum","Sim","Vive da pesca de arpao","Nenhum","Sim","Sim","Sim","Sim","Sim","Sim","Nao","Sim","Sim"," ","Lixo na praia","Nao","Esforco de pesca","Sim","Muita procura","Sim","Maior Rendimento","Nenhum","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","e","Feb 23, 18 14:59","yc70-36cc-d6n", 
2,2,"Edmundo Anibal","Linha de base antes da campanha","M","26 a 30 anos","Un. Marital","7 Pessoas","3 Pessoas","5 Pessoas","3 Criancas","Sim"," ","Nivel Primario","Assembleia de Deus","Nenhum","Pesca","entre 5 a 10 anos","Amigo","Sim","Emalhe"," ","Nenhum","2 Artes de emalhar","2 marinheiros","1 vez","1 a 3 horas","Nas rochas","Nao","Madeira ou contraplacado","Nenhum","Nenhum","Local","Serra","J","O","N","70 a 100 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Nao","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","+100 Kg","Positivo","Imigracao","Sim","Para Linha","Sim","Falta de fundo","Vermelhao","Vermelhao","Chefe de povoacao","PCR","Modo de pesca","Sim","Falta de alternativa para mudanca","Dificil","Nenhum","Nao tem comentario","Sim","Sabe que vai aumentar as especies","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Sim","Sim","Nao","Sim","Nao","Tartaruga","Lixo na praia","Nao","Esforco de pesca","Sim","Nao sabe","Sim","Muita Procura","Nenhum","Sim","Nenhum"," ","Governo","FDM","DPMAIP","CCP","Apanha de mexilhao","1","","Feb 23, 18 15:25","mchh-k6cc-d8k", 
3,3,"Edmundo Anibal","Linha de base antes da campanha","M","31 a 35 anos","Solteiro","5 Pessoas","2 Pessoas","2 Pessoas","2 Criancas","Nao","Mais de 5 anos","Nivel Primario","Zione","Conselho Comunitario de Pesca-CCP","Pesca","Menos de 1 ano","Tio","Nao","Arpao"," ","1 Arpao","Nenhum","1 Marinheiro","1 vez","1 a 3 horas","Nas rochas","Nao","Nenhum","Nenhum","Nenhum"," ","Lagosta","J","N","D","10 a 30Kg","5 a 10Kg","Fora de local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","80 a 100Kg","Positivo","Insumo de pesca","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Nao","Nenhum","Facil","Vai aumentar o rendimento no futuro","Nenhum","Sim","Sabe que vai aumentar as especies","Nenhum","Sim","Vive da pesca de arpao","Nenhum","Sim","Nao","Nao","Sim","Sim","Sim","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Pesca nas rochas","Sim","Muita procura","Sim","Maior Rendimento","Nenhum","Sim","Maior gestao comunitaria"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 23, 18 15:48","5c3m-x6cc-dhr", 
4,4,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Un. Marital","+ 8 Pessoas","3 Pessoas","5 Pessoas","4 Criancas","Sim"," ","Nenhum","Catolica","Nenhum","Pesca","Mais de 10 anos","Pai","Sim","Linha","2 Artes","Nenhum","Nenhum","2 marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Madeira ou contraplacado","Nenhum","I Embarcacao","Local","Vermelhao","O","N","D","40 a 60 Kg","16 a 20Kg","Local","200 Mt/Kg","200Mt/kg","200Mt/Kg","230Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","80 a 100Kg","Positivo","Problema de conservacao","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Nao","Nenhum","Dificil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar o rendimento","Nenhum","Nao","Nenhum","Sabe que pescado do Arpao pode perigar a saude","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Raia Manta","Lixo na praia","Nao","Sobrepesca","Sim","Muita procura","Sim","Maior Rendimento","Nenhum","Sim","Vai aumentar a renda"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 23, 18 16:20","rc5n-d6cx-d5g", 
5,5,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Casado","+ 8 Pessoas","6 Pessoas","+ 7 Pessoas","5 Criancas","Nao","Mais de 5 anos","Nivel Primario","Metodista","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Tio","Sim","Linha","4 Artes","Nenhum","Nenhum","2 marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Madeira ou contraplacado","Nenhum","I Embarcacao","Local","Vermelhao","J","F","N","70 a 100 Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Mudancas climaticas","Negativo","linha de mao","+100 Kg","Positivo","Pesca com arpao nas rochas","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Nao sabe","Facil","Concorda com objectivo do projecto","Nenhum","Sim","Vai aumentar o rendimento","Nenhum","Nao","Nenhum","Arpao nao bom para ecossistema","Sim","Sim","Sim","Sim","Sim","Sim","Nao","Sim","Sim","Nao sabe","Lixo na praia","Nao","Sobrepesca","Sim","Muita procura","Sim","Maior Rendimento","Nenhum","Sim","Vai aumentar a renda"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 23, 18 16:45","1ccv-j6cx-dmh", 
6,6,"Edmundo Anibal","Linha de base antes da campanha","M","31 a 35 anos","Un. Marital","6 Pessoas","4 Pessoas","2 Pessoas","1 crianca","Nao","Mais de 5 anos","Nivel Primario","Zione","Nenhum","Pesca","Mais de 10 anos","Primo","Nao","Linha","2 Artes","Nenhum","Nenhum","2 marinheiros","1 vez","7 a 10 horas","Nos corais","Nao","Fibra","1 Embarcacao"," ","Inhambane","Vermelhao","N","D","J","40 a 60 Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Nao","Dimunuiram","Nao sabe","Negativo","linha de mao","+100 Kg","Positivo","Imigracao","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Sim","Falta de alternativa para mudanca","Dificil","Nenhum","Nao tem comentario","Sim","Vai aumentar a producao","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Sim","Nao","Sim","Nao","Nao sabe","Nao sebe","Nao","Esforco de pesca","Sim","Muita procura","Sim","Maior Rendimento","Nenhum","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","e","Feb 23, 18 18:17","tcff-16c0-d1c", 
7,7,"Edmundo Anibal","Linha de base antes da campanha","M","31 a 35 anos","Un. Marital","7 Pessoas","3 Pessoas","5 Pessoas","3 Criancas","Sim"," ","Nivel Primario","Catolica","Conselho Comunitario de Pesca-CCP","Pesca","entre 5 a 10 anos","Pai","Sim","Emalhe"," ","Nenhum","2 Artes de emalhar","2 marinheiros","1 vez","1 a 3 horas","Nas rochas","Nao","Fibra","1 Embarcacao","Nenhum","Maputo","Serra","A","S","O","10 a 30Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","200Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","+100 Kg"," ","Cruzamento de rede","Sim","Para Linha","Sim","Nenhum","Garoupa","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Nao","Nenhum","Facil","Sabe que vai aumentar a especie de Garoupa","Nenhum","Sim","Vai aumentar a producao","Nenhum","Sim","Nenhum","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Sim","Tartaruga","Lixo na praia","Nao","Esforco de pesca","Sim","Muita procura","Sim","Maior Rendimento","Nenhum","Sim","Aumento da producao"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 23, 18 18:37","ccfp-16c0-dy0", 
8,8,"Edmundo Anibal","Linha de base antes da campanha","M","40 a 45 anos","Casado","+ 8 Pessoas","+ 7 Pessoas","+ 7 Pessoas","+ 7 Criancas","Sim"," ","Nivel Primario","Assembleia de Deus","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Amigo","Sim","Linha","5 Artes","Nenhum","Nenhum","5 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao","Nenhum","Maputo","Vermelhao","O","N","J","70 a 100 Kg","11 a 15Kg","Local","200 Mt/Kg","200Mt/kg","200Mt/Kg","200Mt/Kg","200Mt/Kg","Pessoas de fora da comunidade","Sim","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","+100 Kg","Positivo","Cruzamento de rede","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Regulo","CCP","Especie a ser capturadas","Nao","Nenhum","Dificil","Nenhum","Sabe que tem bom rendimento","Sim","Vai melhorar ecossistema","Nenhum","Sim","Nao tem outra alternativa","Nenhum","Sim","Sim","Sim","Sim","Nao","Nao","Nao","Sim","Nao","Raia Manta","Lixo na praia","Nao","Pesca sem material em condicoes","Sim","Muita procura","Sim","Muita Procura","Nenhum","Sim","Aumento das especies"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 23, 18 21:56","kctj-76ck-d23", 
9,9,"Edmundo Anibal","Linha de base antes da campanha","M","46 a 50 anos","Casado","+ 8 Pessoas","4 Pessoas","6 Pessoas","3 Criancas","Nao","Mais de 5 anos","Nivel Primario","Catolica","Conselho Comunitario de Pesca-CCP","Pesca","Mais de 10 anos","Amigo","Sim","Linha","8 Artes","Nenhum","Nenhum","8 Marinheiros","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao"," ","Inhambane","Vermelhao","N","D","J","70 a 100 Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","200Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Aumento de pescadores","Negativo","linha de mao","+100 Kg","Positivo","Insumo de pesca","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Nao","Nenhum","Dificil","Vai aumentar o rendimento no futuro","Nenhum","Sim","Vai melhorar ecossistema","Nenhum","Nao","Nenhum","Arpao nao bom para ecossistema","Sim","Sim","Sim","Nao","Nao","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Pesca sem material em condicoes","Sim","Muita procura","Sim","Maior Rendimento","Nenhum","Sim","Maior gestao comunitaria"," ","Governo","FDM","SDAE","CCP","Apanha de mexilhao","1","","Feb 23, 18 22:33","9c0x-96cw-d3w", 
10,10,"Edmundo Anibal","Linha de base antes da campanha","M","21 am25 anos","Solteiro","3 Pessoas","1 Pessoa","1 Pessoa","Nenhum","Sim"," ","Nivel Basico","Assembleia de Deus","Nenhum","Pesca","Entre 3 a 4 anos","Pai","Sim","Linha","1 arte","Nenhum","Nenhum","1 Marinheiro","1 vez","7 a 10 horas","No alto mar","Nao","Fibra","1 Embarcacao"," ","Inharrime","Vermelhao","O","N","J","40 a 60 Kg","5 a 10Kg","Local","200 Mt/Kg","200Mt/kg","160Mt/Kg","200Mt/Kg","230Mt/Kg","Pessoas de fora da comunidade","Nao","Nnca","Sim","Dimunuiram","Nao sabe","Negativo","linha de mao","+100 Kg","Positivo","Nenhum","Nao","Nenhum","Nenhum","Nenhum","Nenhum","Vermelhao","Chefe de povoacao","CCP","Modo de pesca","Nao","Nenhum","Dificil","Nenhum","Sabe que tem bom rendimento","Sim","Vai aumentar a producao","Nenhum","Nao","Nenhum","Arpao nao bom para ecossistema","Sim","Sim","Sim","Sim","Sim","Nao","Nao","Sim","Nao","Nao sabe","Lixo na praia","Nao","Esforco de pesca","Sim","Nao sabe","Sim","Maior Rendimento","Nenhum","Sim","Aumento da producao"," ","Governo","FDM","DPMAIP","CCP","Apanha de mexilhao","1","","Feb 23, 18 22:58","0c4g-16cw-df9", 
