country_full,ma_name,location_status,N,length,SD,SE,CI
Indonesia,Kapuntori,"Outside 
Reserve",32,22.90625,7.104561801,1.255920957,2.561467679
Indonesia,Kapuntori,"Inside 
Reserve",47,19.85106383,3.457686607,0.504355427,1.01521482
Indonesia,Kulisusu,"Outside 
Reserve",108,23.01851852,6.133989084,0.590243375,1.170088651
Indonesia,Labengki,"Outside 
Reserve",134,17.44029851,5.317740481,0.45938281,0.908641403
Indonesia,Maginti,"Outside 
Reserve",82,15.07317073,2.8011483,0.309335082,0.615479781
Indonesia,Mataoleo,"Outside 
Reserve",52,21.90384615,3.961875251,0.549413245,1.102993113
Indonesia,Mawasangka,"Outside 
Reserve",142,17.27464789,4.025000535,0.337770542,0.66774922
Indonesia,Mawasangka,"Inside 
Reserve",43,18.60465116,3.67189801,0.559959197,1.13004341
Indonesia,Pasi Kolaga,"Outside 
Reserve",172,23.46511628,7.023265721,0.535518991,1.057079119
Indonesia,Sagori,"Outside 
Reserve",126,21.73015873,4.605062776,0.410251599,0.81193883
Indonesia,Siompu,"Outside 
Reserve",51,23.17647059,7.896089874,1.105673739,2.220811064
Indonesia,Siompu,"Inside 
Reserve",33,19.75757576,4.623515323,0.80485071,1.639427247
Indonesia,Talaga Raya,"Outside 
Reserve",39,21.33333333,3.029098644,0.485043974,0.981920189
Indonesia,Talaga Raya,"Inside 
Reserve",54,22.14814815,3.788798821,0.515590214,1.034143007
Indonesia,Teluk Moramo,"Outside 
Reserve",29,20.13793103,4.976545976,0.924121388,1.892976851
Indonesia,Teluk Moramo,"Inside 
Reserve",54,16.94444444,5.052242792,0.687523161,1.378996827
Indonesia,Tiworo Utara,"Outside 
Reserve",102,15.73529412,3.030950805,0.300108849,0.595335229
Indonesia,Wabula,"Outside 
Reserve",126,21.69047619,8.622263541,0.768132287,1.520229129
Indonesia,Wawonii,"Outside 
Reserve",32,16.75,5.483111902,0.969286402,1.97687265
Indonesia,Wawonii,"Inside 
Reserve",93,17.75268817,5.174468916,0.536567431,1.065669233
