submissionid,country,level1_name,level2_name,level3_name,lat,lon,ma_name,ma_area,ma_status,reserves,reserve_status,2_affiliation,3_community,5_hh_status,6_gender,8_religion,8_religion_other,9_region_member,9_region_name,10_mpa_important,11a_months_farming,11a_income_farming,11b_months_harvesting,11b_income_harvesting,11c_months_fishing_artisanal,11c_income_fishing_artisanal,11d_months_fishing_industrial,11d_income_fishing_industrial,11e_months_buying_trading,11e_income_buying_trading,11f_months_processing,11f_income_processing,11g_months_aquaculture,11g_income_aquaculture,11h_months_extraction,11h_income_extraction,11i_months_tourism,11i_income_tourism,11j_months_other_wage,11j_income_other_wage,11k_other_source,11k_months_other,11k_income_other,12a_fishing_men,12b_fishing_women,12c_fishing_children,13a_processing_men,13b_processing_women,13c_processing_children,14_responsibilities_other,16_hh_main_fisher,16_hh_other_fisher,17_fishing_low_profit,18_fishing_high_profit,19_current_fish_catch,20a_gear_hand,20b_gear_stationary_net,20c_gear_mobile_net,20d_gear_stationary_line,20e_gear_mobile_line,20f_gear_explosives,20g_gear_other,21_boat_owner_status,22_catch_5yrs,23_job_secure,24a_item_radio_no,24a_item_radio_value,24b_item_tv_no,24b_item_tv_value,24c_item_satellite_no,24c_item_satellite_value,24d_item_phone_no,24d_item_phone_value,24e_item_washing_maching_no,24e_item_washing_machine_value,24f_item_generator_no,24f_item_generator_value,24g_item_fridge_no,24g_item_fridge_value,24h_item_motorboat_no,24h_item_motorboat_value,24i_item_outboard_no,24i_item_outboard_value,24j_item_inboard_no,24j_item_inboard_value,24k_item_sailboat_no,24k_item_sailboat_value,24l_item_bicycle_no,24l_item_bicycle_value,24m_item_motorcycle_no,24m_item_motorcycle_value,24n_item_car_no,24n_item_car_value,24o_item_internet_no,24o_item_internet_value,24p_item_other_no,24p_item_other_specify,24p_item_other_value,25a_financial_bank,25b_financial_micro,25c_financial_ngo,25d_financial_lender,25e_financial_insurance,25f_financial_other,26_fishing_income_save,27a_emergency_personal,27b_emergency_family,27c_emergency_friend,27d_emergency_entrepreneur,27e_emergency_savings_club,27f_emergency_lender,27g_emergency_commercial_ind,27h_emergency_commercial_group,27i_emergency_microfinance_ind,27j_emergency_microfinance_group,27k_emergency_ngo_ind,27l_emergency_ngo_group,27m_emergency_insurance,27n_emergency_other,28_buyer_loans,28_loan_purpose,29_family_income,30_trust_local_decision,30_trust_regional_decision,30_trust_community,30_trust_village_alert,30_trust_religious_leaders,30_trust_ngo,30_trust_fishers_community,30_trust_fishers_other,30_trust_community_neighbors,31_my_community_ability,32_fishery_benefit_equal,33_ma_familiar,34_gear_restrictions,35a_ma_gear_nets,35b_ma_gear_dynamite,35c_ma_gear_hookline,35d_ma_gear_harpoon,35e_ma_gear_trawl,35f_ma_gear_mosquito,35g_ma_gear_poison,35h_ma_gear_gillnet,35i_ma_gear_gamboa,35j_ma_gear_quinia,35k_ma_gear_other,36_fish_size_restriction,37_fish_catch,37_ability_min_size,37_ability_max_size,38_reserve_fishing_allowed,39_ma_boundaries_aware,40_reserve_boundaries_aware,41_ma_fishers_allowed,42a_problem_regulation,42b_problem_restricted_gear,42c_problem_undersize,42d_problem_inside_reserve,42e_problem_unauthorized,43_ma_benefits,43_ma_benefits_opinion,46_represent_interests,47_represent_contributions,49_enforcement_responsible,50_ma_punishment,51a_fishers_gear_not_permitted,51b_fishers_reserves,51c_fishers_ma_area,51d_fishers_violate_fish_size,51e_fishers_caught,52_ma_benefit_5yrs,53_encourage_regulations,54_food_availability,55_worry_food,56_reduce_meal_size_adult,57_reduce_meal_size_frequency,58_reduce_meal_size_child,59_food_procurement,60_hh_fish_consumption,61a_current_regulations,61b_catch_recording,61c_community_participation,61d_strong_enforcement,61e_violations_decrease_profit,61f_rights_distribution_fair,61g_fishing_change_behavior,61h_individual_behavior,61i_help_neighbors,62_reserve_compliance,63_fishing_in_reserve,63_times_fishing_reserve,64_wrong_fishing_reserve,65_no_wrong_fishing_reserve,66_response_fishing_reserve,66_reaction_fishing_reserve,67_reserve_boundry,68_fish_eaten,68_fish_sold,70_hh_average_income,71_post_hours_man,71_post_income_man,71_post_hours_woman,71_post_income_woman,72_current_economic,73_future_economic,74_housing_costs,75_luxury_goods,76_fishing_costs,77_hh_ends_meet,78_financial_decisions,79_allow_reinterview,79_interview_years,level4_name,35e_ma_gear_traps,35f_ma_gear_longline,35g_ma_gear_other,35a_ma_gear_gillnet,35b_ma_gear_loop,35d_ma_gear_matapi,35e_ma_gear_longline,35f_ma_gear_handline,35g_ma_gear_rag,35h_ma_gear_trawl,35i_ma_gear_mesh,35j_ma_gear_poison,35k_ma_gear_net,35l_ma_gear_cover,35m_ma_gear_corral,35n_ma_gear_bacamento,35o_ma_gear_other,ma_gear_other_desc,35k_ma_gear_other_desc,updatedat,7_gender,7_age,7_relationship,7_education,14_responsibility,15_activity,15_hours,44_meeting_attendance,45_leadership_position,48_enforcement_participation,69_fish_type,69_street,69_customer_home,69_market,69_shop,69_fishing_company,69_restaurant,69_own_home,69_other
441ba1f0-9103-4d87-9823-57e9fc5fd289,HND,Islas de la Bahía,Guanaja,NA,16.485041,-85.8562,Guanaja,216463,Proposed,2,Established by FF,Community Member,Savannah Bight,Household head,M,Christian,,0,,-1,0,0,0,0,8,60,0,0,0,0,0,0,0,0,0,0,0,0,4,40,,1,0,1,NA,NA,1,NA,NA,,Independently,,A few times,A few times per month,Declined slightly,1,0,0,0,0,0,0,Collective,Improves slightly,0,0,0,1,NA,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,,NA,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tight,3,2,2,2,3,3,1,1,3,Disagree,0,0,1,Unknown,Not permitted,Permitted,Not permitted,NA,NA,NA,NA,NA,NA,NA,0,,NA,NA,0,Neither,Disagree,No restrictions,NA,1,1,1,1,1,Que si se protege ahora tendremos mas peces después.,Neither,Neither,Subnational Government,No punishment,10,9,5,6,0,Unsure,Never,OK,Sometimes,0,,0,Uncertain,Few per month,4,4,4,4,4,0,0,0,4,,NA,NA,,NA,NA,,NA,NA,NA,7900,2,8500,NA,NA,Neither,Slightly better,3500,500,400,With difficulty,Myself,0,0,NA,Not permitted,Not permitted,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-23,"M, M, F","10, 8, 20","Child, Child, Spouse","Primary school, Secondary school, Primary school","Cooking for family, Caring for children",,"NA",No,No,No,"mantequilla, snapa","0, 0","NA, NA","NA, NA","NA, NA","20, 30","NA, NA","NA, NA","NA, NA"
03d9f8ce-155f-4948-b569-949db5b968f6,HND,Islas de la Bahía,Guanaja,NA,16.485041,-85.8562,Guanaja,216463,Proposed,2,Established by FF,Community Member,Savannah Bight,Household head,M,Christian,,0,,-1,0,0,0,0,4,40,8,60,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,NA,NA,1,NA,NA,,Independently,,A few times,A few times per month,Declined slightly,0,0,0,0,0,0,0,Rent,Improves slightly,0,0,1,1,NA,1,NA,1,NA,0,1,0,1,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,,NA,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tight,1,2,1,4,3,4,NA,1,4,Neither,0,1,1,Not permitted,Not permitted,Permitted,Not permitted,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Agree,Agree,With authorization,NA,1,1,1,1,1,El pez tendrá la oportunidad de crecer y reproducirse.,Agree,Agree,Subnational Government,Weak,4,3,2,6,6,Yes,Very often,Good,Often,0,,0,High chance,Few per week,4,4,4,5,4,2,4,4,4,,NA,NA,,NA,NA,,NA,NA,NA,9000,2,300,NA,NA,Slightly better,Slightly better,NA,500,400,With difficulty,Both,1,0,NA,Not permitted,Not permitted,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-24,"F, F, M, F, F, M","30, 13, 10, 9, 6, 1","Spouse, Child, Child, Child, Child, Child","Secondary school, Secondary school, Primary school, Primary school, Primary school, ","Caring for children, Cooking for family",,"NA",No,No,No,cola amarilla,0,"NA","NA","NA",35,"NA","NA","NA"
51cbeb29-488b-410f-8854-efe42bd4228c,HND,Islas de la Bahía,Guanaja,NA,16.485041,-85.8562,Guanaja,216463,Proposed,2,Established by FF,Community Member,Savannah Bight,Spouse,F,Christian,,0,,0,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,60,,0,0,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,NA,1,NA,0,0,0,0,1,NA,0,0,1,NA,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,,NA,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tight,1,1,1,5,1,3,1,1,1,No dependance,-1,0,0,,,,,NA,NA,NA,NA,NA,NA,NA,0,,NA,NA,-1,No reserve,Strongly disagree,With authorization,NA,0,0,0,0,0,,Neither,Neither,National Government,No punishment,10,8,5,6,3,Unsure,Never,OK,Sometimes,0,,0,Uncertain,Once or never,4,4,4,4,4,4,0,0,5,,NA,NA,,NA,NA,,NA,NA,NA,6500,NA,NA,NA,NA,,,0,0,0,Fairly easy,Both,1,0,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-25,M,45,Household head,Primary school,NA,,"NA",No,No,No,,0,"NA","NA","NA","NA","NA","NA","NA"
9e712fef-52a9-4dd0-9100-16852e534d0e,HND,Islas de la Bahía,Guanaja,NA,16.485041,-85.8562,Guanaja,216463,Proposed,2,Established by FF,Community Member,Savannah Bight,Spouse,F,Christian,,1,centro occidental,NA,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,40,,0,0,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,NA,1,NA,1,NA,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,NA,1,NA,0,0,0,0,0,1,NA,,NA,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tight,2,1,4,4,3,3,4,2,4,Neither,-1,0,-1,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,No reserve,Neither,Community only,NA,0,1,1,1,0,,Neither,Neither,National Government,No punishment,2,5,8,6,4,Unsure,Never,Rather bad,Sometimes,0,,0,Uncertain,Once or never,5,5,5,5,5,5,0,0,5,,NA,NA,,NA,NA,,NA,NA,NA,7500,NA,NA,NA,NA,,,0,300,0,With difficulty,Both,0,0,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-03,", M, F, F","NA, 38, 10, 6",", Household head, Child, Child",", No formal, Primary school, Primary school",NA,,"NA",No,No,No,,0,"NA","NA","NA","NA","NA","NA","NA"
3afe0071-0225-48eb-86e3-e4feb4dc6bbe,HND,Islas de la Bahía,Guanaja,NA,16.502378,-85.87386,Guanaja,216463,Proposed,2,Established by FF,Community Member,Mangrove Bight,Household head,M,Christian,,0,,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,100,,0,0,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,NA,1,NA,1,NA,0,0,1,NA,1,NA,0,1,1,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,NA,NA,,NA,1,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sufficient,4,3,3,2,5,4,3,3,3,Agree,-1,1,1,Not permitted,Not permitted,Permitted,Not permitted,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Agree,Agree,Community only,NA,1,1,1,1,1,Si ya que los corales de esa zona estarían protegidos y sanos así estos serian el hogar de los peces,Neither,Neither,Subnational Government,No punishment,NA,3,1,2,1,Yes,Sometimes,Good,Never,0,,0,Very confident not,Once or never,2,3,4,5,5,0,0,0,5,,NA,NA,,NA,NA,,NA,NA,NA,9000,0,0,0,0,,,4000,1500,0,Very easy,Myself,1,0,NA,Not permitted,Not permitted,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-04,,"NA",,,NA,,"NA",No,No,No,,0,"NA","NA","NA","NA","NA","NA","NA"
2e68cb97-c4ad-49da-a33f-0c4ff8f9febd,HND,Cortés,Omoa,NA,15.775965,-88.038278,Omoa,42345,Proposed,1,Proposed,Other,Omoa,Household head,M,Christian,,1,Omoa,1,12,80,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,0,0,,0,0,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,NA,1,NA,1,NA,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tight,5,5,4,3,4,4,4,4,4,Neither,1,1,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,NA,1,1,NA,NA,0,,,,Subnational Government,,NA,NA,NA,NA,NA,,Never,Rather bad,Sometimes,0,,0,Uncertain,Few per week,5,5,5,5,NA,NA,NA,NA,5,,NA,NA,,NA,NA,,NA,NA,NA,3750,4,3000,0,0,,,1800,0,0,With difficulty,Myself,1,0,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-11,"M, F, F, F","45, 38, 63, 12","Household head, Spouse, Parent, Child","Primary school, Primary school, No formal, Primary school","Cooking for family, Caring for children",,"NA",NA,NA,No,,0,"NA","NA","NA","NA","NA","NA","NA"
80cab37e-198c-4db8-aafe-8c9d1884a151,HND,Cortés,Omoa,NA,15.775965,-88.038278,Omoa,42345,Proposed,1,Proposed,Other,Omoa,Household head,M,Christian,,1,omoa,1,8,25,0,0,12,50,0,0,0,0,10,25,0,0,0,0,0,0,0,0,,0,0,1,0,0,1,0,0,,Independently,,A few times,More than 1-2 times per week,Declined slightly,1,0,0,1,0,0,0,Collective,Stays the same,0,1,NA,1,NA,0,0,0,0,0,0,0,0,1,NA,1,NA,1,NA,0,0,1,NA,1,NA,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Tight,5,4,4,4,4,4,4,5,5,Agree,1,1,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,NA,0,0,NA,NA,0,,,,Subnational Government,,NA,NA,NA,NA,NA,,Often,OK,Sometimes,0,,0,Very confident not,Few per week,5,5,5,5,NA,5,5,5,5,,NA,NA,,NA,NA,,NA,15,300,7500,3,3000,0,0,Much worse,Slightly better,2000,0,500,With difficulty,Myself,1,0,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-11,M,48,Household head,Primary school,"Cooking for family, Cleaning fish",,"NA",NA,NA,No,"cabo, pargo, cubera","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","25, 50, 45","0, 0, 0"
a843b446-27a3-433c-9277-141321ae793e,HND,Islas de la Bahía,Guanaja,NA,16.448128,-85.891492,Guanaja,216463,Proposed,2,Established by FF,Community Member,El Pelicano,Household head,M,Christian,,0,,1,4,20,0,0,12,30,0,0,0,0,0,0,0,0,0,0,0,0,12,50,,0,0,1,NA,NA,1,NA,NA,,Independently,,Once or never,More than 1-2 times per week,Declined a lot,1,0,0,0,0,0,0,Own,Declines a lot,0,1,NA,1,NA,1,NA,1,NA,0,1,0,1,1,NA,0,1,0,1,0,1,1,NA,0,1,0,0,0,0,1,NA,NA,,NA,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tight,1,1,4,1,4,4,1,1,4,Disagree,0,0,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,,5,,NA,1,1,1,NA,0,,,,Subnational Government,,NA,10,NA,NA,0,,Never,OK,Often,0,,0,Uncertain,Once or never,5,5,5,5,NA,1,5,5,5,3. La captura de los pescadores aumentará,0,NA,4. Muy malo,6,0,,1,25,100,3750,2,2500,NA,NA,Neither,Neither,1500,200,100,With difficulty,Both,1,0,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-13,"M, F, F, M, F, F","62, 50, 12, 62, 50, 12","Household head, Spouse, Grandchild, Household head, Spouse, Grandchild","No formal, Primary school, Primary school, No formal, Primary school, Primary school",NA,", ","NA, NA",NA,NA,"No, No","rojo, cola amarilla, rojo, cola amarilla","1.97626258336499e-322, 1.97626258336499e-322, 1.97626258336499e-322, 1.97626258336499e-322","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA"
d0a04b11-1864-4412-975e-dc9c8e5c29ab,HND,Cortés,Omoa,NA,15.683012,-88.163356,Omoa,42345,Proposed,1,Proposed,Other,Las Flores,Household head,M,Christian,,0,,1,7,45,0,0,0,0,0,0,5,55,0,0,0,0,0,0,0,0,0,0,,0,0,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,NA,1,NA,0,0,0,0,1,NA,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,NA,0,0,1,NA,0,0,0,,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Tight,5,4,5,5,5,5,4,3,2,Agree,1,0,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,NA,1,1,NA,NA,0,,,,Subnational Government,,NA,NA,NA,NA,NA,,Never,Rather bad,Often,1,One or two months,1,Uncertain,Few per week,5,4,5,5,NA,NA,NA,NA,5,,NA,NA,,NA,NA,,NA,NA,NA,1250,3,2500,0,0,,,200,0,800,With difficulty,Myself,1,0,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-13,"M, F, M, M, F, M","44, 32, 19, 44, 32, 19","Household head, Spouse, Child, Household head, Spouse, Child","No formal, No formal, Primary school, No formal, No formal, Primary school","Cleaning fish, Cooking for family, Caring for children, Cleaning fish, Cooking for family, Caring for children",", ","NA, NA",NA,NA,"No, No",", ","0, 0","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA"
56dd4d4d-5e08-4795-843a-e3ec4601dd63,HND,Cortés,Omoa,NA,15.679085,-88.139079,Omoa,42345,Proposed,1,Proposed,Other,Masca,Household head,M,Christian,,1,masca,1,0,0,0,0,12,70,0,0,0,0,2,30,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,2,0,,Independently,,A few times,More than 1-2 times per week,Declined a lot,0,1,0,0,0,0,0,Own,Stays the same,0,1,NA,1,NA,0,0,3,NA,0,0,0,0,3,NA,1,NA,1,NA,0,0,1,NA,2,NA,0,0,2,NA,0,0,0,,0,1,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sufficient,5,5,5,5,5,5,5,5,5,Agree,1,1,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,NA,1,1,NA,NA,1,Que abran  muchos peces con los años,,,Subnational Government,,NA,NA,NA,NA,NA,,Often,OK,Sometimes,0,,0,Very confident not,More than few per week,5,5,5,5,NA,5,5,5,5,,NA,NA,,NA,NA,,NA,21,100,3750,0,0,2,200,Neither,Much better,1500,0,500,Easy,Both,1,0,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-13,"M, M, F, F, M, M, M, M, F, F, M, M, M, M, F, F, M, M","62, 62, 50, 50, 15, 15, 62, 62, 50, 50, 15, 15, 62, 62, 50, 50, 15, 15","Household head, Household head, Spouse, Spouse, Child, Child, Household head, Household head, Spouse, Spouse, Child, Child, Household head, Household head, Spouse, Spouse, Child, Child","No formal, No formal, Primary school, Primary school, Secondary school, Secondary school, No formal, No formal, Primary school, Primary school, Secondary school, Secondary school, No formal, No formal, Primary school, Primary school, Secondary school, Secondary school","Cleaning fish, Cooking for family, Cleaning fish, Cooking for family, Cleaning fish, Cooking for family",", , , , , ","NA, NA, NA, NA, NA, NA",NA,NA,"No, No, No, No, No, No","cubera, cubera, cabo, cabo, cubera, cubera, cabo, cabo, cubera, cubera, cabo, cabo","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","30, 30, 20, 20, 30, 30, 20, 20, 30, 30, 20, 20","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
