id,country,level1_name,level2_name,level3_name,lat,lon,ma_name,ma_area,ma_status,reserves,reserve_status,username,submissionid,updatedat,startformtimestamp,endformtimestamp,2_affiliation,3_community,5_hh_status,6_gender,8_religion,8_religion_other,9_region_member,9_region_name,10_mpa_important,11a_months_farming,11a_income_farming,11b_months_harvesting,11b_income_harvesting,11c_months_fishing_artisanal,11c_income_fishing_artisanal,11d_months_fishing_industrial,11d_income_fishing_industrial,11e_months_buying_trading,11e_income_buying_trading,11f_months_processing,11f_income_processing,11g_months_aquaculture,11g_income_aquaculture,11h_months_extraction,11h_income_extraction,11i_months_tourism,11i_income_tourism,11j_months_other_wage,11j_income_other_wage,11k_other_source,11k_months_other,11k_income_other,12a_fishing_men,12b_fishing_women,12c_fishing_children,13a_processing_men,13b_processing_women,13c_processing_children,14_responsibilities_other,16_hh_main_fisher,16_hh_other_fisher,17_fishing_low_profit,18_fishing_high_profit,19_current_fish_catch,20a_gear_hand,20b_gear_stationary_net,20c_gear_mobile_net,20d_gear_stationary_line,20e_gear_mobile_line,20f_gear_explosives,20g_gear_other,21_boat_owner_status,22_catch_5yrs,23_job_secure,24a_item_radio_no,24a_item_radio_value,24b_item_tv_no,24b_item_tv_value,24c_item_satellite_no,24c_item_satellite_value,24d_item_phone_no,24d_item_phone_value,24e_item_washing_maching_no,24e_item_washing_machine_value,24f_item_generator_no,24f_item_generator_value,24g_item_fridge_no,24g_item_fridge_value,24h_item_motorboat_no,24h_item_motorboat_value,24i_item_outboard_no,24i_item_outboard_value,24j_item_inboard_no,24j_item_inboard_value,24k_item_sailboat_no,24k_item_sailboat_value,24l_item_bicycle_no,24l_item_bicycle_value,24m_item_motorcycle_no,24m_item_motorcycle_value,24n_item_car_no,24n_item_car_value,24o_item_internet_no,24o_item_internet_value,24p_item_other_no,24p_item_other_specify,24p_item_other_value,25a_financial_bank,25b_financial_micro,25c_financial_ngo,25d_financial_lender,25e_financial_insurance,25f_financial_other,26_fishing_income_save,27a_emergency_personal,27b_emergency_family,27c_emergency_friend,27d_emergency_entrepreneur,27e_emergency_savings_club,27f_emergency_lender,27g_emergency_commercial_ind,27h_emergency_commercial_group,27i_emergency_microfinance_ind,27j_emergency_microfinance_group,27k_emergency_ngo_ind,27l_emergency_ngo_group,27m_emergency_insurance,27n_emergency_other,28_buyer_loans,28_loan_purpose,29_family_income,30_trust_local_decision,30_trust_regional_decision,30_trust_community,30_trust_village_alert,30_trust_religious_leaders,30_trust_ngo,30_trust_fishers_community,30_trust_fishers_other,30_trust_community_neighbors,31_my_community_ability,32_fishery_benefit_equal,33_ma_familiar,34_gear_restrictions,35a_ma_gear_nets,35b_ma_gear_dynamite,35c_ma_gear_hookline,35d_ma_gear_harpoon,35e_ma_gear_trawl,35f_ma_gear_mosquito,35g_ma_gear_poison,35h_ma_gear_gillnet,35i_ma_gear_gamboa,35j_ma_gear_quinia,35k_ma_gear_other,36_fish_size_restriction,37_fish_catch,37_ability_min_size,37_ability_max_size,38_reserve_fishing_allowed,39_ma_boundaries_aware,40_reserve_boundaries_aware,41_ma_fishers_allowed,42a_problem_regulation,42b_problem_restricted_gear,42c_problem_undersize,42d_problem_inside_reserve,42e_problem_unauthorized,43_ma_benefits,43_ma_benefits_opinion,46_represent_interests,47_represent_contributions,49_enforcement_responsible,50_ma_punishment,51a_fishers_gear_not_permitted,51b_fishers_reserves,51c_fishers_ma_area,51d_fishers_violate_fish_size,51e_fishers_caught,52_ma_benefit_5yrs,53_encourage_regulations,54_food_availability,55_worry_food,56_reduce_meal_size_adult,57_reduce_meal_size_frequency,58_reduce_meal_size_child,59_food_procurement,60_hh_fish_consumption,61a_current_regulations,61b_catch_recording,61c_community_participation,61d_strong_enforcement,61e_violations_decrease_profit,61f_rights_distribution_fair,61g_fishing_change_behavior,61h_individual_behavior,61i_help_neighbors,62_reserve_compliance,63_fishing_in_reserve,63_times_fishing_reserve,64_wrong_fishing_reserve,65_no_wrong_fishing_reserve,66_response_fishing_reserve,66_reaction_fishing_reserve,67_reserve_boundry,68_fish_eaten,68_fish_sold,70_hh_average_income,71_post_hours_man,71_post_income_man,71_post_hours_woman,71_post_income_woman,72_current_economic,73_future_economic,74_housing_costs,75_luxury_goods,76_fishing_costs,77_hh_ends_meet,78_financial_decisions,79_allow_reinterview,79_interview_years,level4_name,35e_ma_gear_traps,35f_ma_gear_longline,35g_ma_gear_other,35a_ma_gear_gillnet,35b_ma_gear_loop,35d_ma_gear_matapi,35e_ma_gear_longline,35f_ma_gear_handline,35g_ma_gear_rag,35h_ma_gear_trawl,35i_ma_gear_mesh,35j_ma_gear_poison,35k_ma_gear_net,35l_ma_gear_cover,35m_ma_gear_corral,35n_ma_gear_bacamento,35o_ma_gear_other,ma_gear_other_desc,35k_ma_gear_other_desc
122,MOZ,Inhambane,Inhassoro,NA,-21.530003,35.199633,Fequete,1722,NA,NA,NA,inhassoro@clrmail.com,b2b827aa-f041-43a3-8138-77dfa9e76d48,NA,NA,NA,Other,Fequete,Sibling,M,Traditional,,1,Fequete,1,NA,NA,3,20,7,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,0,0,1,0,0,,Salaried laborer,,5-6 per week,1-2 per week,Declined slightly,0,0,1,0,0,0,0,Employee,Stays the same,1,1,NA,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,NA,,NA,0,0,0,0,0,PCR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PCR,0,,Insufficient,4,4,4,4,4,4,4,4,4,Agree,1,1,0,,,,,,,,,,,,0,,NA,NA,0,Agree,Agree,With authorization,1,0,0,0,0,1,Ter muito peixe,Agree,Agree,Fisheries Management Body,Strong,0,1,0,0,0,Yes,Often,Rather bad,Sometimes,0,,0,Uncertain,Few,4,4,4,4,4,4,1,4,4,,NA,NA,,NA,NA,,NA,12,20,9000,5,100,0,0,Much worse,Much worse,1200,250,0,With great difficulty,Both,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
123,MOZ,Inhambane,Inhassoro,NA,-21.530003,35.199633,Fequete,1722,NA,NA,NA,inhassoro@clrmail.com,e76b15e6-0830-47be-bfb9-3863bdf0f1fc,NA,NA,NA,Other,Fequete,Household head,M,Muslim,,1,Fequete Inhassoro,1,4,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,NA,1,NA,1,NA,1,NA,1,NA,0,0,0,0,1,NA,0,NA,0,0,0,0,0,0,1,NA,0,0,0,0,1,NA,NA,,NA,0,0,0,0,0,PCRs,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,PCRs,NA,,Insufficient,4,4,4,4,4,4,4,4,4,Neither,1,NA,NA,,,,,,,,,,,,NA,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,,,Rather bad,Sometimes,0,,0,Certain,Few,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,8,21,11000,3,200,1,50,Slightly worse,Slightly worse,1500,700,200,With great difficulty,Both,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
124,MOZ,Inhambane,Inhassoro,NA,-21.530003,35.199633,Fequete,1722,NA,NA,NA,inhassoro@clrmail.com,58719b9f-357a-49eb-af41-cf2a83d96f13,NA,NA,NA,Other,Fequete,Household head,M,Christian,,1,Fequete,1,NA,NA,NA,NA,6,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,2,0,0,2,0,0,,Salaried laborer,,5-6 per week,3-4 per week,Declined slightly,1,0,0,1,0,0,0,Own,Declines slightly,1,1,NA,1,NA,1,NA,1,NA,0,0,0,0,1,NA,1,NA,1,NA,0,0,0,0,0,0,0,0,1,NA,1,NA,0,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,,Tight,NA,NA,NA,1,1,1,4,4,1,Agree,1,1,1,Permitted,Not permitted,Permitted,Permitted,Permitted,Not permitted,Not permitted,Permitted,Not permitted,Not permitted,,0,,NA,NA,0,Agree,Agree,With authorization,1,0,0,0,1,0,,Agree,Agree,Fisheries Management Body,Strong,0,0,0,0,0,Yes,Often,,Sometimes,0,,0,Certain,Few,1,1,4,1,1,1,1,4,4,,NA,NA,,NA,NA,,NA,12,200,20000,5,500,0,0,Neither,Slightly worse,2000,1400,500,With difficulty,Myself,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
125,MOZ,Inhambane,Inhassoro,NA,-21.530003,35.199633,Fequete,1722,NA,NA,NA,inhassoro@clrmail.com,a29b196d-abe9-4ce1-9891-d3135d812769,NA,NA,NA,Other,Fequete,Household head,M,Traditional,,1,Fequete,1,NA,NA,NA,NA,7,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,0,0,0,1,0,,Salaried laborer,,5-6 per week,3-4 per week,Declined slightly,0,0,1,0,0,0,0,Own,Stays the same,1,1,NA,1,NA,1,NA,2,NA,0,0,0,0,1,NA,1,NA,1,NA,0,0,0,0,0,0,1,NA,1,NA,1,NA,0,,0,1,0,0,0,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,PCR,0,,Tight,4,4,4,4,4,4,4,4,4,Agree,1,1,0,,,,,,,,,,,,0,,NA,NA,0,Agree,Agree,With authorization,1,0,0,0,0,1,Muito peixe,Agree,Agree,Fisheries Management Body,Moderate,0,0,0,0,0,Yes,Often,Rather bad,Sometimes,0,,0,High chance,Few,4,4,4,1,4,4,4,1,1,,NA,NA,,NA,NA,,NA,15,100,15700,5,400,2,200,Neither,Neither,1500,200,700,With difficulty,Both,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
126,MOZ,Inhambane,Inhassoro,NA,-21.530003,35.199633,Fequete,1722,NA,NA,NA,inhassoro@clrmail.com,be1eb207-c121-4189-991d-60cdf2aaa057,NA,NA,NA,Other,Fequete,Household head,M,Christian,,1,Inhassoro Fequete,1,5,40,NA,NA,7,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,0,0,2,1,0,,Salaried laborer,,5-6 per week,3-4 per week,Declined slightly,0,0,1,0,0,0,0,Own,Stays the same,1,1,NA,2,NA,1,NA,2,NA,0,0,0,0,1,NA,1,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,PCRs,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,0,,Tight,4,4,4,4,4,4,4,4,4,Agree,1,1,0,,,,,,,,,,,,0,,NA,NA,0,Agree,Agree,With authorization,1,0,0,0,0,1,Ter mais peixe,Agree,Agree,Fisheries Management Body,Strong,0,0,0,0,0,Yes,Very often,Rather bad,Sometimes,0,,0,Uncertain,Few,1,1,1,4,1,4,1,4,1,,NA,NA,,NA,NA,,NA,20,150,19000,5,300,2,100,Slightly worse,Neither,2000,500,1500,With difficulty,Both,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
127,MOZ,Inhambane,Inhassoro,NA,-21.530003,35.199633,Fequete,1722,NA,NA,NA,inhassoro@clrmail.com,1c6a80f7-6afa-4b97-9361-b551cb2714f4,NA,NA,NA,Other,Fequete,Household head,M,Christian,,0,,1,NA,NA,NA,NA,6,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,0,0,4,2,0,0,Salaried laborer,,5-6 per week,1-2 per week,Declined slightly,1,0,1,1,0,0,0,Own,Declines slightly,1,2,NA,1,NA,1,NA,2,NA,0,0,0,0,1,NA,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,1,NA,0,,0,1,0,0,0,0,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,,1,Compra de insumos de pesca,Tight,4,4,1,4,1,1,4,1,1,Agree,0,NA,NA,,,,,,,,,,,,NA,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,Agree,Agree,National Government,Strong,NA,0,0,0,0,Yes,Often,,Often,0,,0,Confident not,Few,4,4,1,1,1,4,1,1,4,,NA,NA,,NA,NA,,NA,8,NA,2000,4,500,0,0,Slightly worse,Slightly worse,800,300,500,With great difficulty,Myself,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
128,MOZ,Inhambane,Inhassoro,NA,-21.530003,35.199633,Fequete,1722,NA,NA,NA,inhassoro@clrmail.com,94defb0d-d2dd-4eef-a352-16afcb566550,NA,NA,NA,Other,Fequete,Household head,M,Christian,,0,,1,NA,NA,NA,NA,6,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,0,0,2,1,0,0,Salaried laborer,,5-6 per week,1-2 per week,Declined slightly,0,1,0,1,0,0,0,Own,Improves slightly,1,1,NA,2,NA,2,NA,1,NA,0,0,0,0,1,NA,1,NA,1,NA,0,0,0,0,0,0,0,0,0,0,1,NA,0,,0,1,0,0,0,0,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,,Insufficient,4,4,1,1,4,1,4,1,1,Agree,1,1,1,Permitted,Not permitted,Permitted,Permitted,Permitted,Not permitted,Not permitted,Not permitted,Permitted,Not permitted,,0,,NA,NA,0,Agree,Agree,With authorization,1,0,0,0,0,0,,Agree,Agree,National Government,Moderate,0,0,0,0,0,Yes,Often,Good,Sometimes,0,,0,Certain,Few,1,4,4,4,1,1,4,1,1,,NA,NA,,NA,NA,,NA,20,150,12000,3,150,0,0,Neither,Neither,1500,1000,700,With difficulty,Myself,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
129,MOZ,Inhambane,Inhassoro,NA,-21.530003,35.199633,Fequete,1722,NA,NA,NA,inhassoro@clrmail.com,6313d50a-0c9f-4978-83f4-f81f3b2ad5b7,NA,NA,NA,Other,Fequete,Spouse,F,Christian,,1,Fequete,1,6,60,NA,NA,4,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,0,0,0,1,0,,Other,PCR,3-4 per week,3-4 per week,Declined slightly,NA,NA,NA,NA,NA,NA,NA,Rent,Declines slightly,0,3,NA,2,NA,2,NA,2,NA,0,0,0,0,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,1,NA,NA,,NA,1,1,0,0,0,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,,1,consumo familiar,Sufficient,4,4,4,4,4,4,4,4,4,Agree,1,1,1,Permitted,Not permitted,Permitted,Permitted,Permitted,Not permitted,Not permitted,,Permitted,Not permitted,,0,,NA,NA,0,Agree,Agree,Don't know,1,0,0,0,0,0,,Neither,Agree,Fisheries Management Body,Strong,0,0,0,0,0,Yes,Often,Good,Sometimes,0,,0,High chance,Few,4,4,4,4,1,1,4,4,1,,NA,NA,,NA,NA,,NA,8,100,25000,0,0,5,4000,Neither,Neither,4500,1500,1600,With difficulty,Male partner,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
130,MOZ,Inhambane,Inhassoro,NA,-21.530003,35.199633,Fequete,1722,NA,NA,NA,inhassoro@clrmail.com,411e749c-7ca7-4da7-95ab-6ed0d49f7597,NA,NA,NA,Other,Fequete,Spouse,F,Christian,,0,,1,NA,NA,NA,NA,7,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,4,3,0,4,3,0,,Salaried laborer,,3-4 per week,5-6 per week,Declined slightly,1,0,0,1,0,0,0,Own,Improves slightly,1,3,NA,3,NA,3,NA,5,NA,0,0,0,0,2,NA,1,NA,1,NA,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,PCR,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,,Tight,4,4,4,4,1,4,1,4,1,Agree,1,1,-1,,,,,,,,,,,,-1,,NA,NA,0,Strongly agree,Agree,No managed access,1,0,0,0,0,1,Muito pescado,Agree,Agree,National Government,Strong,0,0,0,0,0,Yes,Often,Good,Sometimes,0,,0,Certain,Few,4,4,4,1,4,1,1,1,4,,NA,NA,,NA,NA,,NA,30,100,2000,0,0,3,250,Slightly better,Slightly better,15000,4000,1000,With difficulty,Male partner,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
131,MOZ,Inhambane,Inhassoro,NA,-21.530003,35.199633,Fequete,1722,NA,NA,NA,inhassoro@clrmail.com,5d40b7e6-c280-471c-9ab9-e037b154462b,NA,NA,NA,Other,Fequete,Household head,M,Traditional,,0,,1,NA,NA,NA,NA,6,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,3,1,0,1,0,0,,Salaried laborer,,5-6 per week,3-4 per week,Declined slightly,0,0,1,0,0,0,0,Own,Declines slightly,1,2,NA,2,NA,1,NA,2,NA,0,0,0,0,2,NA,1,NA,1,NA,0,0,0,0,1,NA,0,0,0,0,1,NA,0,,0,1,0,0,0,0,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,,Insufficient,4,4,4,1,1,4,1,1,1,Agree,1,1,1,Permitted,Not permitted,Permitted,Permitted,Permitted,Not permitted,Not permitted,Not permitted,Permitted,Not permitted,,-1,,NA,NA,0,Agree,Agree,With authorization,1,0,0,0,0,1,Mais pesca e muito peixe,Agree,Agree,National Government,Strong,0,0,0,0,0,Yes,Often,,,NA,,NA,,,4,4,4,1,1,4,1,4,1,,NA,NA,,NA,NA,,NA,15,100,40000,4,2000,0,0,Neither,Neither,12000,9000,2000,Fairly easy,Myself,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
