id,country,level1_name,level2_name,level3_name,lat,lon,ma_name,ma_area,ma_status,reserves,reserve_status,username,submissionid,updatedat,startformtimestamp,endformtimestamp,2_affiliation,3_community,5_hh_status,6_gender,8_religion,8_religion_other,9_region_member,9_region_name,10_mpa_important,11a_months_farming,11a_income_farming,11b_months_harvesting,11b_income_harvesting,11c_months_fishing_artisanal,11c_income_fishing_artisanal,11d_months_fishing_industrial,11d_income_fishing_industrial,11e_months_buying_trading,11e_income_buying_trading,11f_months_processing,11f_income_processing,11g_months_aquaculture,11g_income_aquaculture,11h_months_extraction,11h_income_extraction,11i_months_tourism,11i_income_tourism,11j_months_other_wage,11j_income_other_wage,11k_other_source,11k_months_other,11k_income_other,12a_fishing_men,12b_fishing_women,12c_fishing_children,13a_processing_men,13b_processing_women,13c_processing_children,14_responsibilities_other,16_hh_main_fisher,16_hh_other_fisher,17_fishing_low_profit,18_fishing_high_profit,19_current_fish_catch,20a_gear_hand,20b_gear_stationary_net,20c_gear_mobile_net,20d_gear_stationary_line,20e_gear_mobile_line,20f_gear_explosives,20g_gear_other,21_boat_owner_status,22_catch_5yrs,23_job_secure,24a_item_radio_no,24a_item_radio_value,24b_item_tv_no,24b_item_tv_value,24c_item_satellite_no,24c_item_satellite_value,24d_item_phone_no,24d_item_phone_value,24e_item_washing_maching_no,24e_item_washing_machine_value,24f_item_generator_no,24f_item_generator_value,24g_item_fridge_no,24g_item_fridge_value,24h_item_motorboat_no,24h_item_motorboat_value,24i_item_outboard_no,24i_item_outboard_value,24j_item_inboard_no,24j_item_inboard_value,24k_item_sailboat_no,24k_item_sailboat_value,24l_item_bicycle_no,24l_item_bicycle_value,24m_item_motorcycle_no,24m_item_motorcycle_value,24n_item_car_no,24n_item_car_value,24o_item_internet_no,24o_item_internet_value,24p_item_other_no,24p_item_other_specify,24p_item_other_value,25a_financial_bank,25b_financial_micro,25c_financial_ngo,25d_financial_lender,25e_financial_insurance,25f_financial_other,26_fishing_income_save,27a_emergency_personal,27b_emergency_family,27c_emergency_friend,27d_emergency_entrepreneur,27e_emergency_savings_club,27f_emergency_lender,27g_emergency_commercial_ind,27h_emergency_commercial_group,27i_emergency_microfinance_ind,27j_emergency_microfinance_group,27k_emergency_ngo_ind,27l_emergency_ngo_group,27m_emergency_insurance,27n_emergency_other,28_buyer_loans,28_loan_purpose,29_family_income,30_trust_local_decision,30_trust_regional_decision,30_trust_community,30_trust_village_alert,30_trust_religious_leaders,30_trust_ngo,30_trust_fishers_community,30_trust_fishers_other,30_trust_community_neighbors,31_my_community_ability,32_fishery_benefit_equal,33_ma_familiar,34_gear_restrictions,35a_ma_gear_nets,35b_ma_gear_dynamite,35c_ma_gear_hookline,35d_ma_gear_harpoon,35e_ma_gear_trawl,35f_ma_gear_mosquito,35g_ma_gear_poison,35h_ma_gear_gillnet,35i_ma_gear_gamboa,35j_ma_gear_quinia,35k_ma_gear_other,36_fish_size_restriction,37_fish_catch,37_ability_min_size,37_ability_max_size,38_reserve_fishing_allowed,39_ma_boundaries_aware,40_reserve_boundaries_aware,41_ma_fishers_allowed,42a_problem_regulation,42b_problem_restricted_gear,42c_problem_undersize,42d_problem_inside_reserve,42e_problem_unauthorized,43_ma_benefits,43_ma_benefits_opinion,46_represent_interests,47_represent_contributions,49_enforcement_responsible,50_ma_punishment,51a_fishers_gear_not_permitted,51b_fishers_reserves,51c_fishers_ma_area,51d_fishers_violate_fish_size,51e_fishers_caught,52_ma_benefit_5yrs,53_encourage_regulations,54_food_availability,55_worry_food,56_reduce_meal_size_adult,57_reduce_meal_size_frequency,58_reduce_meal_size_child,59_food_procurement,60_hh_fish_consumption,61a_current_regulations,61b_catch_recording,61c_community_participation,61d_strong_enforcement,61e_violations_decrease_profit,61f_rights_distribution_fair,61g_fishing_change_behavior,61h_individual_behavior,61i_help_neighbors,62_reserve_compliance,63_fishing_in_reserve,63_times_fishing_reserve,64_wrong_fishing_reserve,65_no_wrong_fishing_reserve,66_response_fishing_reserve,66_reaction_fishing_reserve,67_reserve_boundry,68_fish_eaten,68_fish_sold,70_hh_average_income,71_post_hours_man,71_post_income_man,71_post_hours_woman,71_post_income_woman,72_current_economic,73_future_economic,74_housing_costs,75_luxury_goods,76_fishing_costs,77_hh_ends_meet,78_financial_decisions,79_allow_reinterview,79_interview_years,level4_name,35e_ma_gear_traps,35f_ma_gear_longline,35g_ma_gear_other,35a_ma_gear_gillnet,35b_ma_gear_loop,35d_ma_gear_matapi,35e_ma_gear_longline,35f_ma_gear_handline,35g_ma_gear_rag,35h_ma_gear_trawl,35i_ma_gear_mesh,35j_ma_gear_poison,35k_ma_gear_net,35l_ma_gear_cover,35m_ma_gear_corral,35n_ma_gear_bacamento,35o_ma_gear_other,ma_gear_other_desc,35k_ma_gear_other_desc
13333,BRA,Pará,Bragança,NA,-0.978378,-47.77708,RESEX Caeté-Taperaçu,41807,NA,NA,NA,brazil1@rare.org,8b515841-b77b-4885-bd20-540cc72e4665,2019-10-12T12:42:00,NA,NA,Surveyor,Tamatateua,Household head,M,Católico,,1,,1,NA,NA,NA,NA,12,5,NA,NA,12,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,NA,1,NA,NA,,Independently,,1-2 per week,1-2 per week,Declined a lot,NA,1,NA,NA,NA,NA,NA,Rent,Declines a lot,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,,NA,1,0,0,0,0,,0,0,1,1,0,0,0,NA,0,NA,NA,0,NA,0,,0,,Tight,1,5,5,5,5,1,5,4,4,Agree,0,1,1,NA,NA,Permitted,NA,NA,NA,NA,NA,NA,NA,NA,0,,NA,NA,0,Agree,,No restrictions,1,0,1,1,1,1,Proteger o pescado,No management,No management,National Government,Moderate,1,0,0,0,0,Yes,Sometimes,Very good,Sometimes,1,Some months,0,High chance,More than few per week,2,4,4,4,NA,4,2,4,5,,NA,NA,,NA,NA,,NA,1,10,600,5,30,NA,NA,Much worse,Much worse,100,0,350,With difficulty,Both,1,5,NA,NA,NA,NA,Permitted,Unknown,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Not permitted,Permitted,Permitted,Permitted,Permitted,,,NA
13334,BRA,Pará,Bragança,NA,-0.978378,-47.77708,RESEX Caeté-Taperaçu,41807,NA,NA,NA,brazil1@rare.org,f3705e1a-1c7d-43ba-b1cf-51afe35fbba9,2019-10-12T12:42:00,NA,NA,Surveyor,Tamatateua,Child,M,Católico,,1,,1,NA,NA,NA,NA,12,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,3,0,NA,3,NA,NA,,Independently,,1-2 per week,3-4 per week,Declined slightly,1,0,0,0,0,0,NA,Rent,Improves slightly,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0,em cas,1,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,patrão,1,alimentação,Sufficient,1,NA,5,5,5,1,5,5,5,Agree,1,0,1,NA,NA,Permitted,NA,NA,NA,NA,NA,NA,NA,NA,1,maduro,0,0,NA,Agree,0,With authorization,0,1,1,0,0,1,Garantir o pescado no futuro,No management,,No enforcement system,No punishment,3,0,0,0,0,No,Rarely,Good,Never,0,,0,Confident not,More than few per week,5,5,5,5,NA,5,5,5,5,,NA,NA,,NA,NA,,NA,2,50,15,10,100,NA,NA,Neither,Neither,680,0,60,Fairly easy,Myself,1,5,NA,NA,NA,NA,Permitted,Unknown,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Not permitted,Permitted,Permitted,Permitted,Permitted,,,NA
13335,BRA,Pará,Bragança,NA,-0.978378,-47.77708,RESEX Caeté-Taperaçu,41807,NA,NA,NA,brazil1@rare.org,52d54074-69fc-4cd1-ba98-68e4887110b2,2019-10-12T12:42:00,NA,NA,Surveyor,Tamatateua,Household head,M,Católico,,1,,1,NA,NA,NA,NA,NA,NA,NA,NA,12,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,NA,0,0,0,0,0,em casa,NA,1,1,0,0,0,0,NA,0,NA,NA,0,NA,0,,NA,,Sufficient,1,3,5,5,5,5,2,2,2,Agree,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,,,Good,Never,0,,0,Confident not,More than few per week,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,14,500,12000,5,500,NA,NA,Slightly better,Much better,120,100,1500,Easy,Female partner,1,3,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA
13336,BRA,Pará,Bragança,NA,-0.978378,-47.77708,RESEX Caeté-Taperaçu,41807,NA,NA,NA,brazil1@rare.org,6c5fe660-5ee7-43be-89fa-686674326cfc,2019-10-12T12:42:00,NA,NA,Surveyor,Tamatateua,Household head,M,Católico,,1,,1,NA,NA,NA,NA,12,0,NA,NA,12,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,0,0,0,0,0,,Independently,,1-2 per week,1-2 per week,Stayed the same,1,1,0,0,0,0,NA,Own,Improves slightly,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0,em casa,1,1,0,0,0,0,0,NA,0,NA,NA,0,NA,1,,1,atravessador,Sufficient,1,5,5,1,5,1,5,2,2,Agree,1,0,1,NA,NA,Permitted,NA,NA,NA,NA,NA,NA,NA,NA,1,Não sabe,0,0,0,Agree,"[
  """"Strongly disagree""""
]",Without authorization,1,1,1,0,0,0,,,No management,Fisheries Management Body,No punishment,0,0,0,0,0,Unsure,Never,Good,Never,0,,0,Confident not,More than few per week,5,5,5,5,NA,5,0,5,5,,NA,NA,,NA,NA,,NA,14,15,400,10,100,NA,NA,Neither,,200,80,80,With great difficulty,Both,1,3,NA,NA,NA,NA,Permitted,,Permitted,Permitted,Permitted,Permitted,,Permitted,Not permitted,,,,,,curral,NA
13337,BRA,Pará,Bragança,NA,-0.978378,-47.77708,RESEX Caeté-Taperaçu,41807,NA,NA,NA,brazil1@rare.org,cf52caf9-d737-432c-b133-dbaff07cf425,2019-10-12T12:42:00,NA,NA,Surveyor,Tamatateua,Spouse,F,Católico,,1,,1,NA,NA,NA,NA,12,100,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,0,0,1,0,0,cuida da roça de mandioca,Independently,,1-2 per week,3-4 per week,Declined slightly,1,0,0,0,0,0,NA,Not by boat,Declines a lot,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,,NA,0,0,0,0,0,em cas,1,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,"atravessador, bolsa família",1,"remédio, comida",Tight,3,5,3,5,5,2,2,2,2,Strongly agree,1,0,1,NA,NA,Permitted,NA,NA,NA,NA,NA,NA,NA,NA,1,Não lemba,0,0,-1,Disagree,0,With authorization,0,1,1,0,1,0,,No management,No management,No enforcement system,No management,4,0,0,3,0,Unsure,Often,Very bad,Sometimes,0,,0,Uncertain,More than few per week,4,4,4,5,NA,5,5,5,5,,NA,NA,,NA,NA,,NA,16,0,250,8,90,NA,NA,Neither,Much better,200,40,8,With great difficulty,Both,1,5,NA,NA,NA,NA,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Not permitted,Permitted,Permitted,Permitted,Permitted,,,NA
13338,BRA,Pará,Bragança,NA,-0.978378,-47.77708,RESEX Caeté-Taperaçu,41807,NA,NA,NA,brazil1@rare.org,f49d89b7-b1d9-4d67-b3db-7a432533d6c7,2019-10-12T12:53:00,NA,NA,Surveyor,Tamatateua,Spouse,F,Católico,,0,,1,12,20,NA,NA,12,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,60,1,1,0,1,0,0,,Other,.patrão,1-2 per week,1-2 per week,Stayed the same,NA,NA,NA,NA,NA,NA,NA,Rent,Improves slightly,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,,NA,NA,NA,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,troca aluguel de barco pela cambada com patrão,0,,Insufficient,1,3,4,1,4,3,4,3,4,Neither,1,0,1,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,-1,,NA,NA,-1,Neither,,Don't know,1,1,1,0,0,0,,Neither,Neither,National Government,No management,0,0,0,0,0,No,No regulations,OK,Often,1,One or two months,0,Confident not,More than few per week,4,0,0,1,NA,0,0,0,5,,NA,NA,,NA,NA,,NA,4,0,600,12,5,0,0,Slightly better,Slightly better,37,0,NA,With difficulty,Male partner,1,1,NA,NA,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Permitted,Unknown,,,NA
13339,BRA,Pará,Bragança,NA,-0.978378,-47.77708,RESEX Caeté-Taperaçu,41807,NA,NA,NA,brazil1@rare.org,559cba93-afeb-4564-8368-0abb7210f151,2019-10-12T12:55:00,NA,NA,Surveyor,Tamatateua,Household head,M,Evangélico,,1,Patalina,1,12,30,NA,NA,12,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,0,0,1,0,0,,Enterprise owner,,1-2 per week,3-4 per week,Improved slightly,NA,NA,NA,NA,NA,NA,NA,Rent,Improves slightly,1,1,NA,0,1,0,1,1,NA,0,1,0,0,1,NA,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,NA,,NA,1,NA,NA,NA,NA,conta da mãe,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,patrão,1,"aluguel  de barco, combustível ",Sufficient,4,4,4,3,3,3,4,3,5,Agree,1,0,-1,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,caranguejo  6 cm para frente,1,1,-1,Neither,,Don't know,1,1,1,0,0,0,,Disagree,Disagree,Fisheries Management Body,No punishment,10,0,0,2,0,No management,Often,OK,Never,0,,0,Very confident not,More than few per week,4,4,4,4,NA,3,5,5,5,,NA,NA,,NA,NA,,NA,5,0,600,4,60,NA,NA,Slightly better,Slightly better,60,30,144,Easy,Both,1,2,NA,NA,NA,NA,,Not permitted,,,,,Permitted,,,Permitted,Permitted,Permitted,Permitted,,,NA
13340,BRA,Pará,Bragança,NA,-0.978378,-47.77708,RESEX Caeté-Taperaçu,41807,NA,NA,NA,brazil1@rare.org,c280228a-1ecb-4d6b-933a-64a091c69681,2019-10-12T12:55:00,NA,NA,Surveyor,Tamatateua,Household head,M,Evangélico,,0,,1,NA,NA,NA,NA,12,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,12,65,1,0,0,0,0,0,,Independently,,1-2 per week,7 per week,Declined slightly,NA,NA,NA,NA,NA,NA,NA,Not by boat,Declines a lot,0,1,NA,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,1,0,1,0,1,NA,,NA,1,NA,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,empresta de amigo,0,,Sufficient,4,4,3,4,1,5,2,3,2,Agree,1,1,1,NA,NA,Permitted,NA,NA,NA,NA,NA,NA,NA,NA,1,"rede de 20 e 22 não permitida  18 tem mínimo,  25 para acima ",1,1,0,Disagree,2,No restrictions,1,1,1,0,1,1,A fiscalização  deve ser mais,Neither,Neither,National Government,Severe,8,8,8,0,0,Yes,Rarely,Good,Never,0,,0,Confident not,Few per week,2,3,4,5,NA,0,5,5,5,,NA,NA,,NA,NA,,NA,7,NA,1500,8,80,3,70,Slightly better,Neither,190,400,0,Very easy,Both,1,1,NA,NA,NA,NA,Not permitted,Not permitted,Unknown,Permitted,Permitted,Unknown,Not permitted,Not permitted,Not permitted,Permitted,Not permitted,Permitted,Not permitted,Not permitted,fuzarca,NA
13341,BRA,Pará,Bragança,NA,-0.978378,-47.77708,RESEX Caeté-Taperaçu,41807,NA,NA,NA,brazil1@rare.org,708de972-123c-443d-b311-3b91112afdf8,2019-10-12T12:55:00,NA,NA,Surveyor,Tamatateua,Spouse,M,Evangélico,,0,,1,12,70,NA,NA,12,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,2,1,0,2,1,0,ajuda a capinar na roça,Independently,,1-2 per week,1-2 per week,Improved heavily,NA,1,NA,NA,NA,NA,NA,Collective,Declines slightly,1,0,0,0,1,0,1,0,1,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,NA,,NA,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,patrão,0,,Sufficient,4,4,5,1,5,3,5,3,5,Strongly agree,0,0,1,NA,NA,Not permitted,NA,NA,NA,NA,NA,NA,NA,NA,1,"caica  22cm máximo, meudo. ....uriçica 15 cm ",0,1,-1,Agree,10,Don't know,1,1,1,0,1,0,,Neither,Neither,National Government,Weak,4,0,0,2,0,Unsure,Often,Very good,Never,0,,0,Very confident not,More than few per week,4,3,4,4,NA,3,4,3,5,,NA,NA,,NA,NA,,NA,10,30,700,20,300,NA,NA,Slightly better,Much better,135,120,40,Easy,Myself,1,3,NA,NA,NA,NA,Permitted,Unknown,Unknown,Not permitted,Permitted,Unknown,Permitted,Permitted,Unknown,Permitted,Permitted,Not permitted,Unknown,Unknown,,NA
13342,BRA,Pará,Bragança,NA,-0.978378,-47.77708,RESEX Caeté-Taperaçu,41807,NA,NA,NA,brazil1@rare.org,ed7692be-077a-46bc-b229-781dba42328e,2019-10-12T12:58:00,NA,NA,Surveyor,Tamatateua,Spouse,F,Evangélico,,0,,1,6,50,NA,NA,12,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,NA,0,0,0,,Independently,,1-2 per week,7 per week,Declined slightly,NA,NA,1,NA,NA,NA,NA,Own,Stays the same,1,0,0,1,NA,0,0,1,NA,0,0,0,NA,1,NA,0,0,1,NA,0,0,0,0,1,NA,0,1,0,0,0,0,NA,,NA,0,0,0,0,0,Em casa,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,,0,,Tight,3,3,4,2,5,3,5,4,3,Agree,1,0,1,NA,NA,Permitted,NA,NA,NA,NA,NA,NA,NA,NA,-1,,NA,NA,-1,Neither,0,Community only,0,1,1,0,1,1,Preservar,No management,No management,National Government,No punishment,0,0,10,0,0,Yes,Sometimes,OK,Sometimes,0,,0,Uncertain,More than few per week,0,3,5,5,NA,0,5,5,5,,NA,NA,,NA,NA,,NA,13,300,NA,NA,NA,NA,NA,Neither,Slightly better,90,0,300,Fairly easy,Male partner,1,6,NA,NA,NA,NA,Permitted,,Permitted,,Permitted,,,,Not permitted,,,Not permitted,,,,NA
