id,country,level1_name,level2_name,level3_name,lat,lon,ma_name,ma_area,ma_status,reserves,reserve_status,username,submissionid,updatedat,startformtimestamp,endformtimestamp,2_affiliation,3_community,5_hh_status,6_gender,8_religion,8_religion_other,9_region_member,9_region_name,10_mpa_important,11a_months_farming,11a_income_farming,11b_months_harvesting,11b_income_harvesting,11c_months_fishing_artisanal,11c_income_fishing_artisanal,11d_months_fishing_industrial,11d_income_fishing_industrial,11e_months_buying_trading,11e_income_buying_trading,11f_months_processing,11f_income_processing,11g_months_aquaculture,11g_income_aquaculture,11h_months_extraction,11h_income_extraction,11i_months_tourism,11i_income_tourism,11j_months_other_wage,11j_income_other_wage,11k_other_source,11k_months_other,11k_income_other,12a_fishing_men,12b_fishing_women,12c_fishing_children,13a_processing_men,13b_processing_women,13c_processing_children,14_responsibilities_other,16_hh_main_fisher,16_hh_other_fisher,17_fishing_low_profit,18_fishing_high_profit,19_current_fish_catch,20a_gear_hand,20b_gear_stationary_net,20c_gear_mobile_net,20d_gear_stationary_line,20e_gear_mobile_line,20f_gear_explosives,20g_gear_other,21_boat_owner_status,22_catch_5yrs,23_job_secure,24a_item_radio_no,24a_item_radio_value,24b_item_tv_no,24b_item_tv_value,24c_item_satellite_no,24c_item_satellite_value,24d_item_phone_no,24d_item_phone_value,24e_item_washing_maching_no,24e_item_washing_machine_value,24f_item_generator_no,24f_item_generator_value,24g_item_fridge_no,24g_item_fridge_value,24h_item_motorboat_no,24h_item_motorboat_value,24i_item_outboard_no,24i_item_outboard_value,24j_item_inboard_no,24j_item_inboard_value,24k_item_sailboat_no,24k_item_sailboat_value,24l_item_bicycle_no,24l_item_bicycle_value,24m_item_motorcycle_no,24m_item_motorcycle_value,24n_item_car_no,24n_item_car_value,24o_item_internet_no,24o_item_internet_value,24p_item_other_no,24p_item_other_specify,24p_item_other_value,25a_financial_bank,25b_financial_micro,25c_financial_ngo,25d_financial_lender,25e_financial_insurance,25f_financial_other,26_fishing_income_save,27a_emergency_personal,27b_emergency_family,27c_emergency_friend,27d_emergency_entrepreneur,27e_emergency_savings_club,27f_emergency_lender,27g_emergency_commercial_ind,27h_emergency_commercial_group,27i_emergency_microfinance_ind,27j_emergency_microfinance_group,27k_emergency_ngo_ind,27l_emergency_ngo_group,27m_emergency_insurance,27n_emergency_other,28_buyer_loans,28_loan_purpose,29_family_income,30_trust_local_decision,30_trust_regional_decision,30_trust_community,30_trust_village_alert,30_trust_religious_leaders,30_trust_ngo,30_trust_fishers_community,30_trust_fishers_other,30_trust_community_neighbors,31_my_community_ability,32_fishery_benefit_equal,33_ma_familiar,34_gear_restrictions,35a_ma_gear_nets,35b_ma_gear_dynamite,35c_ma_gear_hookline,35d_ma_gear_harpoon,35e_ma_gear_trawl,35f_ma_gear_mosquito,35g_ma_gear_poison,35h_ma_gear_gillnet,35i_ma_gear_gamboa,35j_ma_gear_quinia,35k_ma_gear_other,36_fish_size_restriction,37_fish_catch,37_ability_min_size,37_ability_max_size,38_reserve_fishing_allowed,39_ma_boundaries_aware,40_reserve_boundaries_aware,41_ma_fishers_allowed,42a_problem_regulation,42b_problem_restricted_gear,42c_problem_undersize,42d_problem_inside_reserve,42e_problem_unauthorized,43_ma_benefits,43_ma_benefits_opinion,46_represent_interests,47_represent_contributions,49_enforcement_responsible,50_ma_punishment,51a_fishers_gear_not_permitted,51b_fishers_reserves,51c_fishers_ma_area,51d_fishers_violate_fish_size,51e_fishers_caught,52_ma_benefit_5yrs,53_encourage_regulations,54_food_availability,55_worry_food,56_reduce_meal_size_adult,57_reduce_meal_size_frequency,58_reduce_meal_size_child,59_food_procurement,60_hh_fish_consumption,61a_current_regulations,61b_catch_recording,61c_community_participation,61d_strong_enforcement,61e_violations_decrease_profit,61f_rights_distribution_fair,61g_fishing_change_behavior,61h_individual_behavior,61i_help_neighbors,62_reserve_compliance,63_fishing_in_reserve,63_times_fishing_reserve,64_wrong_fishing_reserve,65_no_wrong_fishing_reserve,66_response_fishing_reserve,66_reaction_fishing_reserve,67_reserve_boundry,68_fish_eaten,68_fish_sold,70_hh_average_income,71_post_hours_man,71_post_income_man,71_post_hours_woman,71_post_income_woman,72_current_economic,73_future_economic,74_housing_costs,75_luxury_goods,76_fishing_costs,77_hh_ends_meet,78_financial_decisions,79_allow_reinterview,79_interview_years,level4_name,35e_ma_gear_traps,35f_ma_gear_longline,35g_ma_gear_other,35a_ma_gear_gillnet,35b_ma_gear_loop,35d_ma_gear_matapi,35e_ma_gear_longline,35f_ma_gear_handline,35g_ma_gear_rag,35h_ma_gear_trawl,35i_ma_gear_mesh,35j_ma_gear_poison,35k_ma_gear_net,35l_ma_gear_cover,35m_ma_gear_corral,35n_ma_gear_bacamento,35o_ma_gear_other,ma_gear_other_desc,35k_ma_gear_other_desc
16772,FSM,Pohnpei,Kitti,NA,6.837177,158.215215,Kitti,0,Proposed,NA,,fsm1@rare.org,d15bf5b0-b430-4462-9846-0bf73818856e,2020-09-15T04:04:19,2020-09-06T20:57:35,2020-09-11T23:18:40,RARE,Section 2,Household head,M,Christian,,0,,-1,6,50,NA,NA,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,0,0,1,0,0,,Independently,,Once or never,More than 1-2 times per week,Declined a lot,1,0,1,1,0,0,0,Collective,Declines slightly,0,1,NA,1,NA,0,1,1,NA,0,1,0,1,1,NA,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,NA,,NA,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sufficient,4,4,4,4,4,4,4,4,4,Agree,-1,-1,-1,na,na,na,na,na,NA,NA,NA,NA,NA,,-1,pwoaren mwahmw,NA,NA,0,Strongly agree,10,na,NA,1,1,1,1,0,,Agree,Disagree,Subnational Government,Moderate,0,0,0,0,0,na,Rarely,OK,Never,0,,0,Not confident,Few per week,4,2,4,4,NA,0,2,0,4,go up,0,NA,extremely wrong,10,-1,,1,20,60,800,1,800,0,0,Neither,Much better,20,0,60,Easy,Myself,1,2023,Section 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16773,FSM,Pohnpei,Kitti,NA,6.837177,158.215215,Kitti,0,Proposed,NA,,fsm1@rare.org,c6653550-a350-46ba-8739-52bcb5e9a0d8,2020-09-15T04:04:33,2020-09-04T06:37:01,2020-09-11T23:18:19,RARE,Section 2,Household head,M,Christian,,0,,1,3,50,NA,NA,8,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,NA,1,NA,NA,,Independently,,Once or never,A few times,Stayed the same,0,0,0,1,0,0,0,Collective,Stays the same,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,NA,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sufficient,2,2,4,4,4,4,2,2,4,Agree,-1,-1,-1,na,na,na,na,na,NA,NA,NA,NA,NA,,-1,"pwuhlak,soh",NA,NA,0,Agree,0,na,NA,1,1,1,-1,-1,,Disagree,Disagree,Subnational Government,,0,0,0,0,0,na,Very often,OK,Never,0,,0,Not confident,Few,4,2,2,4,NA,0,2,4,4,go up,0,NA,extremely wrong,10,0,,1,40,0,500,0,0,0,0,Slightly better,Much better,40,40,40,Easy,Both,1,2023,Section 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16774,FSM,Pohnpei,Kitti,NA,6.837177,158.215215,Kitti,0,Proposed,NA,,fsm1@rare.org,01a70bff-43bd-4453-9c45-8d9b2f1c08d3,2020-09-15T04:04:47,2020-09-07T01:45:41,2020-09-11T23:17:43,RARE,Section 2,Household head,M,Christian,,0,,1,12,50,NA,NA,6,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,1,1,1,1,1,,Independently,,Once or never,More than 1-2 times per week,Stayed the same,1,0,0,0,1,0,0,Own,Declines a lot,0,1,NA,1,NA,0,0,2,NA,0,0,0,0,1,NA,1,NA,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,NA,,NA,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sufficient,4,4,4,4,4,4,4,4,4,Strongly agree,1,-1,-1,na,na,na,na,na,NA,NA,NA,NA,NA,,-1,,NA,NA,0,Strongly agree,0,na,NA,1,1,1,-1,-1,,Disagree,Disagree,Subnational Government,na,0,0,0,0,0,na,Rarely,OK,Never,0,,0,Not confident,Few per week,4,4,4,4,NA,4,4,4,4,go up,0,NA,extremely wrong,10,0,,1,20,60,300,0,300,0,0,Neither,Much better,20,20,20,Easy,Both,1,2023,Section 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16775,FSM,Pohnpei,Kitti,NA,6.837177,158.215215,Kitti,0,Proposed,NA,,fsm1@rare.org,95b4201f-a0c0-41c3-ba66-7cf4d828383a,2020-09-15T04:05:02,2020-09-06T23:57:54,2020-09-11T23:16:23,RARE,Section 2,Household head,M,Christian,,0,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,100,,NA,NA,1,0,1,1,0,1,,Independently,,Once or never,More than 1-2 times per week,Declined slightly,1,0,0,1,0,0,0,Own,Declines slightly,0,1,NA,1,NA,0,0,2,NA,1,NA,0,0,1,NA,1,NA,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,NA,,NA,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sufficient,4,4,4,4,4,4,4,4,4,Strongly agree,0,-1,-1,na,na,na,na,na,NA,NA,NA,NA,NA,,-1,,NA,NA,0,Strongly agree,10,na,NA,1,1,1,-1,0,,,Disagree,Subnational Government,na,0,0,0,0,0,No,Rarely,OK,Never,0,,0,Not confident,More than few per week,4,4,4,4,NA,0,2,4,4,go up,0,NA,extremely wrong,10,1,Negative formal sanction,1,40,60,250,0,0,0,0,Neither,Much better,20,40,60,Easy,Both,1,2023,Section 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16776,FSM,Pohnpei,Kitti,NA,6.837177,158.215215,Kitti,0,Proposed,NA,,fsm1@rare.org,2d353a97-0d05-47a6-abf1-9d46a75b6627,2020-09-15T04:05:31,2020-09-07T08:06:25,2020-09-11T23:15:59,RARE,Section 2,Household head,M,Christian,,0,,1,12,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,0,0,0,0,0,,Independently,,Once or never,A few times per month,Stayed the same,0,0,0,1,0,0,0,Collective,Declines slightly,0,1,NA,1,NA,0,1,1,NA,1,NA,0,1,1,NA,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,NA,NA,,NA,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sufficient,4,4,4,4,4,4,4,2,4,Strongly agree,0,-1,-1,na,na,na,na,na,NA,NA,NA,NA,NA,,-1,,NA,NA,1,Strongly agree,10,na,NA,1,1,1,1,0,,Disagree,Disagree,Subnational Government,Weak,0,0,0,0,0,na,Sometimes,OK,Never,0,,0,Not confident,Few per week,4,4,4,4,NA,0,4,4,4,go up,0,NA,extremely wrong,10,0,,1,20,0,300,0,0,0,0,Neither,Much better,20,0,40,Easy,Myself,0,NA,Section 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16777,FSM,Pohnpei,Kitti,NA,6.837177,158.215215,Kitti,0,Proposed,NA,,fsm1@rare.org,b44be22b-738b-4617-9847-e9c6f5fc8c9d,2020-09-15T04:05:45,2020-09-04T21:25:21,2020-09-11T23:15:45,RARE,Section 2,Household head,M,Christian,,0,,1,NA,NA,NA,NA,12,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,NA,1,NA,NA,,Independently,,Once or never,More than 1-2 times per week,Declined a lot,0,0,1,1,0,0,0,Own,Stays the same,0,1,NA,1,NA,0,1,1,NA,1,NA,0,1,1,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,,NA,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sufficient,2,2,4,4,4,4,4,4,4,Agree,1,-1,-1,na,na,na,na,na,NA,NA,NA,NA,NA,,-1,"pwaoren Mwahmw, sohtoa",NA,NA,1,Agree,10,na,NA,1,1,1,-1,-1,,Disagree,Disagree,Subnational Government,na,0,0,0,0,0,na,Sometimes,OK,Never,0,,0,Not confident,Few per week,4,4,4,4,NA,0,2,NA,4,go up,0,NA,extremely wrong,10,0,,1,20,500,1500,0,1000,0,0,Slightly better,Much better,40,60,150,Easy,Both,1,2023,Section 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16778,FSM,Pohnpei,Kitti,NA,6.837177,158.215215,Kitti,0,Proposed,NA,,fsm1@rare.org,afeaf56c-acd9-4917-907c-678ec27b0031,2020-09-15T04:05:59,2020-09-04T03:36:07,2020-09-11T23:15:10,RARE,Section 2,Household head,M,Christian,,0,,1,NA,NA,NA,NA,6,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,50,,NA,NA,1,NA,NA,1,NA,NA,,Independently,,A few times,1-2 per week,Declined a lot,1,0,0,1,0,0,0,Own,Declines a lot,0,1,NA,1,NA,0,1,3,NA,1,NA,0,1,1,NA,1,NA,0,0,0,0,0,0,0,0,0,0,1,NA,1,NA,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sufficient,2,2,5,4,4,4,4,2,4,Strongly agree,1,-1,-1,na,na,na,na,na,NA,NA,NA,NA,NA,,-1,"kasiwo, sohtoa",NA,NA,0,Strongly agree,0,na,NA,1,1,1,-1,1,Pwihn en apwail sohlar kak apwali wasan nahk,Disagree,Disagree,Subnational Government,na,0,0,0,0,0,na,Very often,Very good,Never,0,,0,Not confident,More than few per week,2,4,4,4,NA,0,2,4,4,go up,NA,NA,extremely wrong,10,0,,1,50,0,800,0,0,0,0,Neither,Much better,40,60,40,Easy,Both,1,2023,Section 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16779,FSM,Pohnpei,Kitti,NA,6.837177,158.215215,Kitti,0,Proposed,NA,,fsm1@rare.org,4ec91ebe-7fcc-46ee-a547-d863d0ed7718,2020-09-15T04:06:13,2020-09-03T03:09:37,2020-09-11T23:14:47,RARE,Section 2,Household head,M,Christian,,0,,1,1,25,NA,NA,8,25,NA,NA,8,25,NA,NA,NA,NA,NA,NA,12,15,12,10,,NA,NA,1,NA,NA,3,NA,NA,,Independently,,A few times per month,A few times per month,Declined a lot,1,NA,1,NA,1,0,0,Collective,Declines a lot,0,0,1,1,NA,0,1,2,NA,1,NA,1,NA,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,2,NA,1,NA,NA,,NA,1,0,0,0,0,,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,,Insufficient,2,2,4,4,4,4,4,2,4,Strongly agree,0,-1,-1,na,na,na,na,na,NA,NA,NA,NA,NA,,-1,"kioak, sohtoa",NA,NA,0,Agree,10,na,NA,1,1,1,-1,1,"Ei, Ma mioa.ihsais kohoang sohn apwail  wasan  nahk kan a pahn mihoa  koarida en wasan nahk pwehki ,sohn sihloa wasan nahk pahn insonoki joajoak wasan nahk..",Disagree,Agree,Subnational Government,na,0,0,0,0,0,Yes,Often,OK,Sometimes,0,,0,Not confident,Few per week,2,2,4,4,NA,0,4,4,4,go up,0,NA,extremely wrong,10,0,,1,30,0,1000,1,500,NA,NA,Much better,Much better,20,40,150,Fairly easy,Female partner,1,2020,Section 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16780,FSM,Pohnpei,Kitti,NA,6.837177,158.215215,Kitti,0,Proposed,NA,,fsm1@rare.org,7690e008-d090-4182-8a11-1602211f2be0,2020-09-15T04:06:47,2020-09-03T19:57:30,2020-09-11T23:14:18,RARE,Section 2,Household head,M,Christian,,0,,1,8,50,NA,NA,3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,NA,1,NA,NA,,Independently,,Once or never,1-2 per week,Declined a lot,0,0,0,1,0,0,0,Own,Declines a lot,0,0,0,1,NA,0,0,2,NA,1,NA,0,0,1,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,,NA,1,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sufficient,6,6,4,4,4,NA,3,2,4,Strongly disagree,0,-1,-1,na,na,na,na,na,NA,NA,NA,NA,NA,,-1,"pwuhlankin, sohtoa",NA,NA,0,Agree,10,na,NA,1,1,1,1,-1,,Disagree,Disagree,Subnational Government,na,0,0,0,0,0,na,Sometimes,Good,Never,0,,0,Not confident,Few per week,4,4,4,4,NA,4,4,4,4,go up,0,NA,extremely wrong,10,0,,1,30,200,200,1,400,NA,NA,Slightly better,Slightly better,40,0,150,Easy,Male partner,1,2023,Section 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16781,FSM,Pohnpei,Kitti,NA,6.837177,158.215215,Kitti,0,Proposed,NA,,fsm1@rare.org,dabbd15e-7af1-4fbf-97a7-70e6c56eb25d,2020-09-15T04:07:01,2020-09-04T18:23:18,2020-09-11T23:13:51,RARE,Section 2,Household head,M,Christian,,0,,1,NA,NA,NA,NA,5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,50,,NA,NA,1,NA,NA,1,NA,NA,,Independently,,1-2 per week,1-2 per week,Declined a lot,0,0,1,1,0,0,0,Own,Declines slightly,0,0,0,2,NA,0,0,1,NA,NA,NA,1,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,NA,NA,,NA,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sufficient,4,4,4,2,4,4,2,2,4,Agree,0,-1,-1,na,na,na,na,na,NA,NA,NA,NA,NA,,-1,"pahlapal, sohtoa",NA,NA,0,Agree,10,na,NA,1,1,1,-1,0,,Disagree,Disagree,Subnational Government,na,0,0,0,0,0,Yes,Sometimes,OK,Never,0,,0,Not confident,More than few per week,2,2,4,4,NA,0,4,4,4,go up,0,NA,extremely wrong,10,1,Negative formal sanction,1,20,150,400,0,0,0,0,Much better,Much better,20,100,150,Easy,Female partner,1,2023,Section 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
