"","x1","submissionid","country","level1_name","level2_name","level4_name","level4_id","lat","lon","ma_name","ma_area","ma_status","username","x1_interviewer","x2_affiliation","x3_community","x4_ma_r_mb","x5_hh_status","x6_gender","x8_religion","x8_religion_other","x9_region_member","x9_region_name","x44_meeting_attendance","x45_leadership_position","x48_enforcement_participation","x53_encourage_regulations","x61g_fishing_change_behavior","x43_ma_benefits","x46_represent_interests","x52_ma_benefit_5yrs","x61a_current_regulations","x61f_rights_distribution_fair","x30_trust_local_decision","x67_reserve_boundry","x11a_income_farming","x11a_months_farming","x11b_income_harvesting","x11b_months_harvesting","x11c_income_fishing_artisanal","x11c_months_fishing_artisanal","x11d_income_fishing_industrial","x11d_months_fishing_industrial","x11e_income_buying_trading","x11e_months_buying_trading","x11f_income_processing","x11f_months_processing","x11g_income_aquaculture","x11g_months_aquaculture","x11h_income_extraction","x11h_months_extraction","x11i_income_tourism","x11i_months_tourism","x11j_income_other_wage","x11j_months_other_wage","x11k_income_other","x11k_months_other","x11k_other_source","x12a_fishing_men","x12b_fishing_women","x12c_fishing_children","x19_current_fish_catch","x22_catch_5yrs","x17_fishing_low_profit","x18_fishing_high_profit","x23_job_secure","x26_fishing_income_save","x28_buyer_loans","x29_family_income","x30_trust_community","x30_trust_community_neighbors","x30_trust_fishers_community","x30_trust_fishers_other","x30_trust_ngo","x30_trust_regional_decision","x30_trust_religious_leaders","x30_trust_village_alert","x31_my_community_ability","x38_reserve_fishing_allowed","x39_ma_boundaries_aware","x40_reserve_boundaries_aware","x49_enforcement_responsible","x50_ma_punishment","x51a_fishers_gear_not_permitted","x51b_fishers_reserves","x51c_fishers_ma_area","x51d_fishers_violate_fish_size","x51e_fishers_caught","x55_worry_food","x56_reduce_meal_size_adult","x59_food_procurement","x60_hh_fish_consumption","x61b_catch_recording","x61c_community_participation","x61d_strong_enforcement","x61h_individual_behavior","x61i_help_neighbors","x66_reaction_fishing_reserve","x66_response_fishing_reserve","x62_reserve_compliance","x63_fishing_in_reserve","x64_wrong_fishing_reserve","x21_boat_owner_status","x32_fishery_benefit_equal","x70_hh_average_income","x7_gender","x7_age","x7_relationship","x7_education","household_size","x44_scaled","x45_scaled","x48_scaled","x53_scaled","x61g_scaled","x43_scaled","x46_scaled","x52_scaled","x61a_scaled","x61f_scaled","x30a_scaled","eng_sum","agree_sum","eng_mean","agree_mean","raw_agree_mean","raw_eng_mean","cluster_no"
"1",1,"0001c8b4-d5ac-44ea-a9f6-4a649f354548","PHL","Surigao del Norte","Pilar Siargao","Salvacion",2089,9.846792,126.107798,"Pilar",32990,"Proposed","ramolo@rare.org","Gil C. Bandoy","Surveyor","Salvacion",NA,NA,"F","Christian",NA,0,NA,1,1,1,0,4,0,0,0,3,4,3,1,NA,NA,NA,NA,100,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,"Declined slightly","Stays the same","A few times per month","A few times per month",1,0,0,"Tight",4,4,4,4,4,3,4,4,"Neither",1,"Neither",8,"Fisheries Management Body","Moderate",3,4,3,3,2,"Often",0,"Uncertain","Few per month",3,4,4,4,4,NA,0,NA,0,"2","Own",1,1000,"F",42,"Spouse","Secondary school",2,0.978666720331889,1.81557559985818,1.98281393624615,0.0227416487419967,0.0314776537862151,-1.14856817451973,-1.09135775097665,-0.86235442317803,-0.974697369768959,0.251188145735725,-0.837553145446788,4.83127555896443,-4.66334271815443,0.966255111792886,-0.777223786359072,1.66666666666667,1.4,"3"
"2",2,"000e59cb-ed94-426f-8035-0d8c0b21a64e","PHL","Surigao del Norte","Socorro","Sering",2182,9.664736,125.975704,"Socorro",43060,"Proposed","ramolo@rare.org","godspeed steelerey nasayao","Surveyor","Sering",NA,"Household head","M","Other","ifi",1,"caraga",-1,-1,-1,0,4,0,1,0,4,3,4,1,NA,NA,NA,NA,100,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Declined slightly","Stays the same","Once or never","More than 1-2 times per week",1,0,0,"Tight",3,2,3,2,4,4,3,4,"Neither",0,"Neither",10,"Subnational Government","Strong",0,0,0,2,2,"Sometimes",1,"Confident not","More than few per week",4,3,4,3,3,"Negative formal sanction",1,"1",0,"4","Rent",1,1600,"F",18,"Spouse","Primary school",2,-1.08434325939685,-0.611918240625074,-0.602278281162057,0.0227416487419967,0.0314776537862151,-1.14856817451973,0.591813887830373,-0.86235442317803,0.140280269100647,-0.838517932889726,0.22484327814502,-2.24432047865577,-1.89250309551145,-0.448864095731154,-0.315417182585241,2,0.2,"1"
"3",3,"001654ca-9c05-455c-915d-7f25ca9b17e2","PHL","Surigao del Norte","Burgos","Bitaug",1690,10.030957,126.064332,"Burgos",9653,"Proposed","ramolo@rare.org","Rex C.  Legaspi","Surveyor","Bitaug",NA,"Spouse","F","Christian",NA,1,"caraga",-1,-1,-1,2,5,0,1,0,4,5,4,1,50,12,NA,NA,50,12,NA,NA,50,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Declined slightly","Stays the same","Once or never","More than 1-2 times per week",0,0,0,"Insufficient",4,4,4,5,5,3,4,4,"Neither",0,"Neither",10,"Fisheries Management Body","Strong",0,0,0,0,0,"Sometimes",NA,"Certain","More than few per week",4,4,5,5,4,"2. Negative informal sanction",1,"1",0,"5","Not by boat",1,4000,"M",5,"Child","No formal",7,-1.08434325939685,-0.611918240625074,-0.602278281162057,1.91476180856681,1.24979971467703,-1.14856817451973,0.591813887830373,-0.86235442317803,0.140280269100647,1.34089422436118,0.22484327814502,0.866021742059854,0.286909061739453,0.173204348411971,0.0478181769565756,2.33333333333333,0.8,"1"
"4",4,"002a1b19-828d-44c1-9edf-e005e1d81cd7","BRA","Pará","São João da Ponta","Deolândia",4095,-0.803694,-47.969417,"RESEX São João da Ponta",3203,"Established","brazil1@rare.org","Paula Costa","Surveyor","Deolândia",NA,"Spouse","F","Outra","Adventista",0,NA,-1,-1,-1,-1,4,1,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,"Declined a lot","Declines slightly","1-2 per week","5-6 per week",0,0,0,"Insufficient",2,2,4,2,4,3,2,4,"Agree",-1,"Strongly agree",NA,"Fisheries Management Body","Weak",0,3,0,4,0,"Sometimes",0,"Very confident not","Few per month",4,2,4,4,4,NA,NA,NA,NA,NA,"Collective",0,1000,"M",13,"Child","Primary school",8,-1.08434325939685,-0.611918240625074,-0.602278281162057,-0.923268431170409,0.0314776537862151,0.860974649689123,0.591813887830373,0.85733174956633,-0.974697369768959,-0.838517932889726,-1.8999495690386,-3.19033055856818,-1.40304458461145,-0.638066111713635,-0.233840764101909,1.83333333333333,0,"2"
"5",6,"00488293-2811-43c6-9e96-b2850be05f64","HND","Colón","Trujillo","Moradel",2976,15.94057,-85.91271,"Trujillo",97725,"Proposed","mar13@rare.org","Ciriaca","Community Member","Moradel","Reserve","Child","F","Christian",NA,1,"Trujillana",-1,-1,-1,-2,4,0,-1,-1,2,2,1,0,30,5,NA,NA,30,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,4,NA,NA,NA,2,0,0,"Declined slightly","Declines slightly","A few times","1-2 per week",1,1,0,"Tight",2,1,2,1,4,1,4,3,"Strongly disagree",0,"Disagree",5,"Subnational Government","Moderate",5,5,5,NA,0,"Sometimes",1,"Uncertain","Few per week",3,3,4,4,4,"negative informal sanction",1,"0",1,"2","Not by boat",1,7500,"F",12,"Grandchild","Primary school",6,-1.08434325939685,-0.611918240625074,-0.602278281162057,-1.86927851108281,0.0314776537862151,-1.14856817451973,-2.77452938978367,-2.58204059592239,-2.08967500863856,-1.92822401151518,-2.9623459926304,-4.13634063848058,-13.4853831730099,-0.827268127696116,-2.24756386216832,0.5,-0.2,"2"
"6",7,"005788bb-e5b7-4b38-9187-6ec307cc0981","PHL","Surigao del Norte","Dapa","San Carlos",1751,9.704019,125.985683,"Dapa",17130,"Established","ramolo@rare.org","Sharmine L. Salubre","Surveyor","San Carlos",NA,"Household head","M","Christian",NA,1,"Caraga",-1,-1,0,0,5,1,1,1,4,3,4,1,30,2,NA,NA,50,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5,NA,NA,NA,1,0,0,"Stayed the same","Improves slightly","Once or never","More than 1-2 times per week",1,1,0,"Tight",5,3,4,3,5,4,4,3,"Agree",0,"Strongly agree",10,"Fisheries Management Body","Strong",0,0,0,0,0,"Sometimes",1,"Uncertain","More than few per week",5,4,4,4,4,NA,0,"1",0,"5","Collective",0,3000,"M",4,"Child","Primary school",4,-1.08434325939685,-0.611918240625074,0.690267827542048,0.0227416487419967,1.24979971467703,0.860974649689123,0.591813887830373,0.85733174956633,0.140280269100647,-0.838517932889726,0.22484327814502,0.266547690939148,1.83672590144177,0.0533095381878296,0.306120983573628,2.33333333333333,0.6,"4"
"7",8,"005c4863-fd79-4417-9aa9-ce36037741f4","BRA","Pará","São Caetano de Odivelas","Pereru de Fátima",3969,-0.700556,-48.039722,"RESEX Marinha Mocapajuba",21029,"Established","brazil1@rare.org","Ruann","Surveyor","Pereru de Fátima",NA,"Household head","M","Católico",NA,0,NA,1,1,-1,1,4,1,1,1,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,"Declined slightly","Declines slightly","5-6 per week","5-6 per week",1,0,0,"Tight",4,2,4,2,3,4,4,4,"Agree",-1,"Neither",0,"Fisheries Management Body","Weak",0,10,2,0,0,"Sometimes",1,"Confident not","More than few per week",4,4,4,4,4,NA,NA,NA,NA,NA,"Own",1,700,"M",16,"Child","Primary school",4,0.978666720331889,1.81557559985818,-0.602278281162057,0.968751728654402,0.0314776537862151,0.860974649689123,0.591813887830373,0.85733174956633,0.140280269100647,0.251188145735725,0.22484327814502,3.19219342146863,2.92643198006722,0.638438684293725,0.487738663344536,2.5,1.2,"3"
"8",9,"00614ce1-2fb6-45d7-aad1-11d473d292f7","PHL","Surigao del Norte","Burgos","Poblacion 1",1692,10.017423,126.066098,"Burgos",9653,"Proposed","ramolo@rare.org","Sheila Mae E. Selliza","Surveyor","Poblacion 1","All 3","Spouse","F","Other","Iglesia Filipina Independente",1,"Caraga",1,-1,-1,0,5,1,1,1,5,5,4,1,NA,NA,NA,NA,100,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Declined a lot","Declines a lot","Once or never","Once or never",0,0,0,"Insufficient",4,5,5,5,4,4,5,5,NA,0,"Strongly agree",10,"Subnational Government","Strong",0,2,2,0,2,"Sometimes",0,"Confident not","More than few per week",5,5,5,5,5,NA,0,"1",0,"5","Not by boat",1,5000,"M",14,"Child","Secondary school",5,0.978666720331889,-0.611918240625074,-0.602278281162057,0.0227416487419967,1.24979971467703,0.860974649689123,0.591813887830373,0.85733174956633,1.25525790797025,1.34089422436118,0.22484327814502,1.03701156196378,5.13111569756227,0.207402312392757,0.855185949593712,2.83333333333333,0.8,"4"
"9",11,"00731a80-7038-492d-9b34-bcc45a44b84c","MOZ","Inhambane","Massinga","Pomene",236,-22.906747,35.556889,"Pomene",6893,"Proposed","pomene@clrmail.com","Isidro Fernando Nhassengo","Community Member","Pomene",NA,"Spouse","F","Christian",NA,0,NA,1,1,1,2,5,1,1,0,5,5,5,NA,NA,NA,NA,NA,0,12,NA,NA,NA,NA,NA,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Improved slightly","Improves heavily","1-2 per week","1-2 per week",1,1,1,"Sufficient",5,5,5,4,3,5,5,5,"Strongly agree",1,"Disagree",3,"Fisheries Management Body","Moderate",NA,NA,NA,NA,NA,"Never",0,"Very confident not","More than few per week",5,5,5,5,5,NA,NA,NA,NA,NA,"Own",1,NA,"M",NA,"Household head","Primary school",1,0.978666720331889,1.81557559985818,1.98281393624615,1.91476180856681,1.24979971467703,0.860974649689123,0.591813887830373,-0.86235442317803,1.25525790797025,1.34089422436118,1.28723970173683,7.94161777968005,4.47382594840972,1.58832355593601,0.745637658068287,2.83333333333333,2,"3"
"10",12,"0078e568-8705-499c-89a4-e1dcf52352e2","MOZ","Inhambane","Massinga","Pomene",236,-22.906747,35.556889,"Pomene",6893,"Proposed","jbcapaina@gmail.com","Honório Manjor","Student","Pomene",NA,"Household head","M","Christian",NA,1,"Massinga Malamba",1,1,-1,0,3,0,1,1,5,5,5,NA,NA,NA,NA,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,"Declined slightly","Improves slightly","A few times per month","More than 1-2 times per week",1,0,1,"Insufficient",3,5,5,5,5,5,4,4,"Strongly agree",1,"Strongly agree",10,"Fisheries Management Body","Strong",1,0,0,0,0,"Sometimes",1,"Confident not","Few per week",5,5,5,3,4,NA,NA,NA,NA,NA,"Own",1,3500,"F",7,"Child","Primary school",3,0.978666720331889,1.81557559985818,-0.602278281162057,0.0227416487419967,-1.1868444071046,-1.14856817451973,0.591813887830373,0.85733174956633,1.25525790797025,1.34089422436118,1.28723970173683,1.02786128066541,4.18396929694523,0.205572256133081,0.697328216157538,2.83333333333333,0.8,"3"
