"x1","submissionid","country","level1_name","level2_name","level3_name","level4_name","level4_id","lat","lon","ma_name","ma_area","ma_status","reserves","reserve_status","x2_affiliation","x3_community","x5_hh_status","x6_gender","x8_religion","x8_religion_other","x9_region_member","x9_region_name","x44_meeting_attendance","x45_leadership_position","x48_enforcement_participation","x53_encourage_regulations","x61g_fishing_change_behavior","x43_ma_benefits","x46_represent_interests","x52_ma_benefit_5yrs","x61a_current_regulations","x61f_rights_distribution_fair","x11a_income_farming","x11a_months_farming","x11b_income_harvesting","x11b_months_harvesting","x11c_income_fishing_artisanal","x11c_months_fishing_artisanal","x11d_income_fishing_industrial","x11d_months_fishing_industrial","x11e_income_buying_trading","x11e_months_buying_trading","x11f_income_processing","x11f_months_processing","x11g_income_aquaculture","x11g_months_aquaculture","x11h_income_extraction","x11h_months_extraction","x11i_income_tourism","x11i_months_tourism","x11j_income_other_wage","x11j_months_other_wage","x11k_income_other","x11k_months_other","x11k_other_source","x12a_fishing_men","x12b_fishing_women","x12c_fishing_children","x19_current_fish_catch","x22_catch_5yrs","x23_job_secure","x26_fishing_income_save","x28_buyer_loans","x29_family_income","x30_trust_community","x30_trust_community_neighbors","x30_trust_fishers_community","x30_trust_fishers_other","x30_trust_local_decision","x30_trust_ngo","x30_trust_regional_decision","x30_trust_religious_leaders","x30_trust_village_alert","x31_my_community_ability","x38_reserve_fishing_allowed","x39_ma_boundaries_aware","x40_reserve_boundaries_aware","x49_enforcement_responsible","x50_ma_punishment","x51a_fishers_gear_not_permitted","x51b_fishers_reserves","x51c_fishers_ma_area","x51d_fishers_violate_fish_size","x51e_fishers_caught","x55_worry_food","x56_reduce_meal_size_adult","x59_food_procurement","x60_hh_fish_consumption","x61b_catch_recording","x61c_community_participation","x61d_strong_enforcement","x61h_individual_behavior","x61i_help_neighbors","x66_reaction_fishing_reserve","x66_response_fishing_reserve","x62_reserve_compliance","x63_fishing_in_reserve","x64_wrong_fishing_reserve","x21_boat_owner_status","x44_scaled","x45_scaled","x48_scaled","x53_scaled","x61g_scaled","x43_scaled","x46_scaled","x52_scaled","x61a_scaled","x61f_scaled","eng_sum","agree_sum","eng_mean","agree_mean"
1,"0001c8b4-d5ac-44ea-a9f6-4a649f354548","PHL","Caraga","Surigao del Norte",NA,"Salvacion",2089,9.846792,126.107798,"SDN_Pilar",8849,"Proposed",1,"Proposed","Surveyor","Salvacion",NA,"F","Christian",NA,0,NA,1,1,1,0,4,0,0,0,3,4,NA,NA,NA,NA,100,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,"Declined slightly","Stays the same",1,0,0,"Tight",4,4,4,4,3,4,3,4,4,"Neither",1,"Neither",8,"Fisheries Management Body","Moderate",3,4,3,3,2,"Often",0,"Uncertain","Few per month",3,4,4,4,4,NA,0,NA,0,"2","Own",0.976564042877258,1.81417467801027,1.97951215663525,0.0208472915768021,0.0309160275647251,-1.144450321836,-1.09264564640186,-0.863467648623278,-0.975093245845545,0.250553665377789,4.8220141966643,-3.8251031973289,0.964402839332861,-0.765020639465779
2,"000e59cb-ed94-426f-8035-0d8c0b21a64e","PHL","Caraga","Surigao del Norte",NA,"Sering",2182,9.664736,125.975704,"SDN_Socorro",20080,"Proposed",1,"Proposed","Surveyor","Sering","Household head","M","Other","ifi",1,"caraga",-1,-1,-1,0,4,0,1,0,4,3,NA,NA,NA,NA,100,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Declined slightly","Stays the same",1,0,0,"Tight",3,2,3,2,4,4,4,3,4,"Neither",0,"Neither",10,"Subnational Government","Strong",0,0,0,2,2,"Sometimes",1,"Confident not","More than few per week",4,3,4,3,3,"Negative formal sanction",1,"1",0,"4","Rent",-1.0864622756227,-0.612178288310995,-0.603141680570095,0.0208472915768021,0.0309160275647251,-1.144450321836,0.590005956520217,-0.863467648623278,0.138977080494165,-0.836971463662,-2.25001892536227,-2.11590639710689,-0.450003785072454,-0.423181279421379
3,"001654ca-9c05-455c-915d-7f25ca9b17e2","PHL","Caraga","Surigao del Norte",NA,"Bitaug",1690,10.030957,126.064332,"SDN_Burgos",61051,"Proposed",1,"Proposed","Surveyor","Bitaug","Spouse","F","Christian",NA,1,"caraga",-1,-1,-1,2,5,0,1,0,4,5,50,12,NA,NA,50,12,NA,NA,50,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Declined slightly","Stays the same",0,0,0,"Insufficient",4,4,4,5,4,5,3,4,4,"Neither",0,"Neither",10,"Fisheries Management Body","Strong",0,0,0,0,0,"Sometimes",NA,"Certain","More than few per week",4,4,5,5,4,"2. Negative informal sanction",1,"1",0,"5","Not by boat",-1.0864622756227,-0.612178288310995,-0.603141680570095,1.9136962757644,1.24813201548917,-1.144450321836,0.590005956520217,-0.863467648623278,0.138977080494165,1.33807879441758,0.860046046749779,0.0591438609726846,0.172009209349956,0.0118287721945369
4,"002a1b19-828d-44c1-9edf-e005e1d81cd7","BRA","Pará","São João da Ponta",NA,"Deulândia",2248,-0.803417,-47.971281,"RESEX São João da Ponta",3203,"Strengthened by FF",0,NA,"Surveyor","Deulândia","Spouse","F","Outra","Adventista",0,NA,-1,-1,-1,-1,4,1,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,50,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,"Declined a lot","Declines slightly",0,0,0,"Insufficient",2,2,4,2,2,4,3,2,4,"Agree",-1,"Strongly agree",NA,"Fisheries Management Body","Weak",0,3,0,4,0,"Sometimes",0,"Very confident not","Few per month",4,2,4,4,4,NA,NA,NA,NA,NA,"Collective",-1.0864622756227,-0.612178288310995,-0.603141680570095,-0.925577200516999,0.0309160275647251,0.862510451458583,0.590005956520217,0.856123921978765,-0.975093245845545,-0.836971463662,-3.19644341745607,0.496575620450021,-0.639288683491214,0.0993151240900041
6,"00488293-2811-43c6-9e96-b2850be05f64","HND","Colón","Trujillo",NA,"Moradel",2976,NA,NA,NA,NA,NA,NA,NA,"Community Member","Moradel","Child","F","Christian",NA,1,"Trujillana",-1,-1,-1,-2,4,0,-1,-1,2,2,30,5,NA,NA,30,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,4,NA,NA,NA,2,0,0,"Declined slightly","Declines slightly",1,1,0,"Tight",2,1,2,1,1,4,1,4,3,"Strongly disagree",0,"Disagree",5,"Subnational Government","Moderate",5,5,5,NA,0,"Sometimes",1,"Uncertain","Few per week",3,3,4,4,4,"negative informal sanction",1,"0",1,"2","Not by boat",-1.0864622756227,-0.612178288310995,-0.603141680570095,-1.8720016926108,0.0309160275647251,-1.144450321836,-2.77529724932395,-2.58305921922532,-2.08916357218526,-1.92449659270179,-4.14286790954987,-10.5164669552723,-0.828573581909974,-2.10329339105446
7,"005788bb-e5b7-4b38-9187-6ec307cc0981","PHL","Caraga","Surigao del Norte",NA,"San Carlos",1751,9.704019,125.985683,"SDN_Dapa",67626,"Established by FF",3,"Strengthened by FF","Surveyor","San Carlos","Household head","M","Christian",NA,1,"Caraga",-1,-1,0,0,5,1,1,1,4,3,30,2,NA,NA,50,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5,NA,NA,NA,1,0,0,"Stayed the same","Improves slightly",1,1,0,"Tight",5,3,4,3,4,5,4,4,3,"Agree",0,"Strongly agree",10,"Fisheries Management Body","Strong",0,0,0,0,0,"Sometimes",1,"Uncertain","More than few per week",5,4,4,4,4,NA,0,"1",0,"5","Collective",-1.0864622756227,-0.612178288310995,0.688185238032578,0.0208472915768021,1.24813201548917,0.862510451458583,0.590005956520217,0.856123921978765,0.138977080494165,-0.836971463662,0.25852398116485,1.61064594678973,0.05170479623297,0.322129189357946
8,"005c4863-fd79-4417-9aa9-ce36037741f4","BRA","Pará","São Caetano de Odivelas",NA,"Pereru de Fátima",2263,-0.700625,-48.039742,"RESEX Marinha Mocapajuba",21029,"Strengthened by FF",0,NA,"Surveyor","Pereru de Fátima","Household head","M","Católico",NA,0,NA,1,1,-1,1,4,1,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,"Declined slightly","Declines slightly",1,0,0,"Tight",4,2,4,2,4,3,4,4,4,"Agree",-1,"Neither",0,"Fisheries Management Body","Weak",0,10,2,0,0,"Sometimes",1,"Confident not","More than few per week",4,4,4,4,4,NA,NA,NA,NA,NA,"Own",0.976564042877258,1.81417467801027,-0.603141680570095,0.967271783670603,0.0309160275647251,0.862510451458583,0.590005956520217,0.856123921978765,0.138977080494165,0.250553665377789,3.18578485155276,2.69817107582952,0.637156970310552,0.539634215165904
9,"00614ce1-2fb6-45d7-aad1-11d473d292f7","PHL","Caraga","Surigao del Norte",NA,"Poblacion 1",1692,10.017423,126.066098,"SDN_Burgos",61051,"Proposed",1,"Proposed","Surveyor","Poblacion 1","Spouse","F","Other","Iglesia Filipina Independente",1,"Caraga",1,-1,-1,0,5,1,1,1,5,5,NA,NA,NA,NA,100,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Declined a lot","Declines a lot",0,0,0,"Insufficient",4,5,5,5,4,4,4,5,5,NA,0,"Strongly agree",10,"Subnational Government","Strong",0,2,2,0,2,"Sometimes",0,"Confident not","More than few per week",5,5,5,5,5,NA,0,"1",0,"5","Not by boat",0.976564042877258,-0.612178288310995,-0.603141680570095,0.0208472915768021,1.24813201548917,0.862510451458583,0.590005956520217,0.856123921978765,1.25304740683387,1.33807879441758,1.03022338106214,4.89976653120902,0.206044676212428,0.979953306241804
11,"00731a80-7038-492d-9b34-bcc45a44b84c","MOZ","Inhambane","Massinga",NA,"Pomene",236,-22.906747,35.556889,"Pomene",6893,"Proposed",3,"Proposed","Community Member","Pomene","Spouse","F","Christian",NA,0,NA,1,1,1,2,5,1,1,0,5,5,NA,NA,NA,NA,0,12,NA,NA,NA,NA,NA,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Improved slightly","Improves heavily",1,1,1,"Sufficient",5,5,5,4,5,3,5,5,5,"Strongly agree",1,"Disagree",3,"Fisheries Management Body","Moderate",NA,NA,NA,NA,NA,"Never",0,"Very confident not","More than few per week",5,5,5,5,5,NA,NA,NA,NA,NA,"Own",0.976564042877258,1.81417467801027,1.97951215663525,1.9136962757644,1.24813201548917,0.862510451458583,0.590005956520217,-0.863467648623278,1.25304740683387,1.33807879441758,7.93207916877635,3.18017496060697,1.58641583375527,0.636034992121395
12,"0078e568-8705-499c-89a4-e1dcf52352e2","MOZ","Inhambane","Massinga",NA,"Pomene",236,-22.906747,35.556889,"Pomene",6893,"Proposed",3,"Proposed","Student","Pomene","Household head","M","Christian",NA,1,"Massinga Malamba",1,1,-1,0,3,0,1,1,5,5,NA,NA,NA,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,"Declined slightly","Improves slightly",1,0,1,"Insufficient",3,5,5,5,5,5,5,4,4,"Strongly agree",1,"Strongly agree",10,"Fisheries Management Body","Strong",1,0,0,0,0,"Sometimes",1,"Confident not","Few per week",5,5,5,3,4,NA,NA,NA,NA,NA,"Own",0.976564042877258,1.81417467801027,-0.603141680570095,0.0208472915768021,-1.18629996035972,-1.144450321836,0.590005956520217,0.856123921978765,1.25304740683387,1.33807879441758,1.02214437153451,2.89280575791444,0.204428874306903,0.578561151582888
